time,humidity_mean,humidity_median,humidity_max,humidity_p75,tcc_mean,tcc_median,tcc_max,tcc_p75,temp_mean,temp_median,temp_max,temp_p75,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1,satellite_mean,satellite_median,satellite_max,satellite_origin,Kp,ap,keogram_mean,keogram_median,keogram_max
2012/2/15 6:00,92.36386108,92.76309204,96.46133423,95.20474243,0.301827312,0.224443212,0.750596762,0.554445028,-9.167836189,-8.884918213,-7.610198975,-8.66293335,6.82E-05,0,0.000391825,8.98E-05,0,4168.1,2514.58,11051.69,0,3.667,22,84.43,70.73,248.73
2012/2/19 6:00,91.52816772,91.69161987,94.89486694,94.43112183,0.124693975,0,0.470588684,0.284049988,-15.48650455,-14.98959351,-12.46078491,-13.76217651,0.000267521,0,0.000953674,0.000774075,0,3095.54,3095.54,3095.54,0,2.333,9,61.4,46.39,239.15
2012/4/3 9:00,90.51737213,88.90487671,95.05453491,93.77011108,0.275785178,0.247064739,0.659845471,0.352426678,-13.56086922,-13.70462036,-11.70040894,-13.27041626,0.001842265,0.001203967,0.008109258,0.002473826,0,4519.61,4519.61,4519.61,0,0.333,2,52.1,49,213.8
2012/4/7 9:00,83.69007874,83.51551819,89.87416077,89.34461975,0.377684146,0.24354583,0.962448418,0.532638848,-5.432864666,-5.361053467,-3.749603271,-5.016265869,0.013152348,0.002091751,0.095980242,0.003095716,0,3302.85,3082.47,5242.19,1,3.333,18,128.56,130.45,248.73
2012/4/12 9:00,81.68321228,81.92417908,84.23423767,83.47093201,0.074918114,0.04234314,0.221805573,0.163654327,-1.345923543,-1.171295166,-0.192840576,-0.837127686,0,0,0,0,0,2726.83,2518.55,4136.79,1,1.667,6,58.89,46.48,248.96
2012/8/23 9:00,63.31634521,65.24006653,71.00032043,68.25617981,0.123074003,0.018966675,0.582519531,0.077346802,8.063947678,7.623687744,10.26046753,9.552581787,0,0,0,0,0,1090.05,1032.18,1605.55,1,2,7,62.01,52.53,248.84
2012/9/18 9:00,62.46172333,62.81947327,68.91810608,64.47181702,0.141765848,0.091336399,0.393216282,0.246617466,1.578263998,1.722381592,2.746612549,2.147918701,0.000235002,0,0.001017965,0.000145315,0,3118.98,3742.95,3967.6,0,1.667,6,77.61,73.12,248.96
2012/10/11 9:00,61.04995346,59.20652771,69.68894958,68.81492615,0.033657074,0.009143829,0.207561493,0.030498505,-7.074391842,-6.689971924,-5.497528076,-5.92098999,0,0,0,0,0,2538.37,2521.94,3575.74,0,1.333,5,33.76,26.8,199.23
2012/10/23 9:00,76.49154663,80.20606995,85.69483948,81.68360901,0.093209162,0,0.329872131,0.181312561,-16.54927254,-16.73245239,-13.21206665,-15.97158813,7.74E-05,0,0.00038703,0,0,3069.58,2675.87,4017.89,1,2,7,72.99,63.37,230.78
2012/11/6 15:00,85.31124878,89.20106506,94.43934631,92.90565491,0.143331736,0.145927429,0.416412354,0.231773376,-23.13500214,-22.72943115,-21.35601807,-21.88287354,2.68E-05,0,0.000241591,0,0,2493.22,2511.96,3151.25,0,2,7,42.59,19.04,243.14
2012/11/24 6:00,84.52521515,86.36853027,90.17419434,89.15515137,0.005663766,0,0.024377823,0.007026196,-25.28273201,-26.29104614,-21.98904419,-23.05581665,0,0,0,0,0,2801.45,2313.85,4176.13,0,3.333,18,160.27,168.38,249.07
2012/11/24 9:00,84.47496033,86.74525452,90.13783264,89.2457428,0.010081397,0,0.040718079,0.011300087,-25.51414108,-26.00007629,-22.61360168,-22.87849426,0,0,0,0,0,2586.73,2586.73,2586.73,0,2,7,73.25,45.99,248.5
2012/11/25 15:00,82.66286469,82.34651184,92.63752747,86.39143372,0.048326705,0.035110474,0.208709717,0.056758881,-25.74759674,-25.82444763,-20.68211365,-22.75901794,0,0,0,0,0,2803.77,2911.78,4957.29,0,1.333,5,26.87,22.44,131.86
2012/11/26 12:00,75.83761597,74.58496094,81.90551758,79.05834961,0.073854238,0.005065918,0.409126282,0.097122192,-24.93496895,-24.76664734,-20.91435242,-24.00907898,0,0,0,0,0,1061.76,1050.89,1866.63,0,0,0,17.83,16.5,115.38
2012/12/2 6:00,90.96143341,97.74029541,100.1167603,98.88970947,0.385911733,0.242141724,0.934402466,0.863845825,-31.34585953,-31.87028503,-26.32243347,-31.04545593,0.001076974,0,0.003635068,0.003175519,0,1677.13,1677.13,1677.13,0,2.667,12,57.87,27.36,249.07
2012/12/17 15:00,96.29608917,100.3425293,102.7751465,100.6716309,0.130728826,0,0.518768311,0.254272461,-40.32132339,-40.02838135,-31.73858643,-37.40802002,3.01E-05,0,0.000281922,0,0,1439.61,1495.13,1760.97,0,2.333,9,36.75,32.54,117.17
