date_slot,mean,median,max,origin
2012-01-01-02,0.0,0.0,0.0,0
2012-01-01-03,0.0,0.0,0.0,0
2012-01-01-05,0.0,0.0,0.0,0
2012-01-01-07,0.0,0.0,0.0,0
2012-01-01-08,0.0,0.0,0.0,0
2012-01-01-10,0.0,0.0,0.0,0
2012-01-01-12,0.0,0.0,0.0,0
2012-01-01-14,0.0,0.0,0.0,0
2012-01-01-15,0.0,0.0,0.0,0
2012-01-01-17,0.0,0.0,0.0,0
2012-01-01-19,0.0,0.0,0.0,0
2012-01-01-20,0.0,0.0,0.0,0
2012-01-01-22,0.0,0.0,0.0,0
2012-01-01-23,0.0,0.0,0.0,0
2012-01-02-01,0.0,0.0,0.0,0
2012-01-02-03,0.0,0.0,0.0,0
2012-01-02-05,0.0,0.0,0.0,0
2012-01-02-06,0.0,0.0,0.0,0
2012-01-02-08,0.0,0.0,0.0,0
2012-01-02-10,0.0,0.0,0.0,0
2012-01-02-12,0.0,0.0,0.0,0
2012-01-02-13,881.21,895.08,931.72,0
2012-01-02-15,0.0,0.0,0.0,0
2012-01-02-17,0.0,0.0,0.0,0
2012-01-02-19,0.0,0.0,0.0,0
2012-01-02-20,0.0,0.0,0.0,0
2012-01-02-22,0.0,0.0,0.0,0
2012-01-02-23,0.0,0.0,0.0,0
2012-01-03-01,0.0,0.0,0.0,0
2012-01-03-03,0.0,0.0,0.0,0
2012-01-03-05,2019.7,2019.7,2798.79,0
2012-01-03-06,0.0,0.0,0.0,0
2012-01-03-08,0.0,0.0,0.0,0
2012-01-03-10,0.0,0.0,0.0,0
2012-01-03-12,0.0,0.0,0.0,0
2012-01-03-13,0.0,0.0,0.0,0
2012-01-03-15,1599.48,1613.57,1923.48,0
2012-01-03-17,0.0,0.0,0.0,0
2012-01-03-18,0.0,0.0,0.0,0
2012-01-03-20,0.0,0.0,0.0,0
2012-01-03-22,0.0,0.0,0.0,0
2012-01-03-23,0.0,0.0,0.0,0
2012-01-04-01,0.0,0.0,0.0,0
2012-01-04-03,0.0,0.0,0.0,0
2012-01-04-04,0.0,0.0,0.0,0
2012-01-04-07,387.77,387.77,748.12,1
2012-01-04-08,0.0,0.0,0.0,0
2012-01-04-10,0.0,0.0,0.0,0
2012-01-04-11,0.0,0.0,0.0,0
2012-01-04-13,0.0,0.0,0.0,0
2012-01-04-15,0.0,0.0,0.0,0
2012-01-04-16,0.0,0.0,0.0,0
2012-01-04-18,0.0,0.0,0.0,0
2012-01-04-20,0.0,0.0,0.0,0
2012-01-04-21,0.0,0.0,0.0,0
2012-01-04-23,0.0,0.0,0.0,0
2012-01-05-01,0.0,0.0,0.0,0
2012-01-05-02,0.0,0.0,0.0,0
2012-01-05-04,0.0,0.0,0.0,0
2012-01-05-06,0.0,0.0,0.0,0
2012-01-05-08,0.0,0.0,0.0,0
2012-01-05-09,0.0,0.0,0.0,0
2012-01-05-11,0.0,0.0,0.0,0
2012-01-05-13,0.0,0.0,0.0,0
2012-01-05-15,0.0,0.0,0.0,0
2012-01-05-16,0.0,0.0,0.0,0
2012-01-05-18,0.0,0.0,0.0,0
2012-01-05-20,0.0,0.0,0.0,0
2012-01-05-21,0.0,0.0,0.0,0
2012-01-05-23,0.0,0.0,0.0,0
2012-01-06-01,0.0,0.0,0.0,0
2012-01-06-02,0.0,0.0,0.0,0
2012-01-06-04,0.0,0.0,0.0,0
2012-01-06-06,0.0,0.0,0.0,0
2012-01-06-07,0.0,0.0,0.0,0
2012-01-06-09,0.0,0.0,0.0,0
2012-01-06-11,0.0,0.0,0.0,0
2012-01-06-13,813.77,919.38,1313.17,0
2012-01-06-14,0.0,0.0,0.0,0
2012-01-06-16,0.0,0.0,0.0,0
2012-01-06-18,0.0,0.0,0.0,0
2012-01-06-19,0.0,0.0,0.0,0
2012-01-06-21,0.0,0.0,0.0,0
2012-01-06-23,0.0,0.0,0.0,0
2012-01-07-00,0.0,0.0,0.0,0
2012-01-07-04,0.0,0.0,0.0,0
2012-01-07-06,319.42,319.42,319.42,1
2012-01-07-07,0.0,0.0,0.0,0
2012-01-07-09,0.0,0.0,0.0,0
2012-01-07-11,0.0,0.0,0.0,0
2012-01-07-12,0.0,0.0,0.0,0
2012-01-07-14,0.0,0.0,0.0,0
2012-01-07-16,0.0,0.0,0.0,0
2012-01-07-17,0.0,0.0,0.0,0
2012-01-07-19,0.0,0.0,0.0,0
2012-01-07-21,0.0,0.0,0.0,0
2012-01-07-22,0.0,0.0,0.0,0
2012-01-08-02,0.0,0.0,0.0,0
2012-01-08-03,0.0,0.0,0.0,0
2012-01-08-05,0.0,0.0,0.0,0
2012-01-08-07,0.0,0.0,0.0,0
2012-01-08-09,0.0,0.0,0.0,0
2012-01-08-10,0.0,0.0,0.0,0
2012-01-08-12,0.0,0.0,0.0,0
2012-01-08-14,0.0,0.0,0.0,0
2012-01-08-16,0.0,0.0,0.0,0
2012-01-08-17,0.0,0.0,0.0,0
2012-01-08-19,0.0,0.0,0.0,0
2012-01-08-21,0.0,0.0,0.0,0
2012-01-08-22,0.0,0.0,0.0,0
2012-01-08-23,0.0,0.0,0.0,0
2012-01-09-02,0.0,0.0,0.0,0
2012-01-09-04,487.49,487.49,487.49,1
2012-01-09-05,0.0,0.0,0.0,0
2012-01-09-07,0.0,0.0,0.0,0
2012-01-09-08,0.0,0.0,0.0,0
2012-01-09-10,0.0,0.0,0.0,0
2012-01-09-12,0.0,0.0,0.0,0
2012-01-09-14,0.0,0.0,0.0,0
2012-01-09-15,0.0,0.0,0.0,0
2012-01-09-17,0.0,0.0,0.0,0
2012-01-09-19,0.0,0.0,0.0,0
2012-01-09-20,0.0,0.0,0.0,0
2012-01-09-22,0.0,0.0,0.0,0
2012-01-09-23,0.0,0.0,0.0,0
2012-01-10-00,0.0,0.0,0.0,0
2012-01-10-01,0.0,0.0,0.0,0
2012-01-10-03,0.0,0.0,0.0,0
2012-01-10-05,0.0,0.0,0.0,0
2012-01-10-06,0.0,0.0,0.0,0
2012-01-10-08,0.0,0.0,0.0,0
