time,temp_mean,temp_median,temp_max,temp_p75
2012-01-01-00,-34.23396682739258,-34.264404296875,-29.447021484375,-32.7144775390625
2012-01-01-01,-34.1341552734375,-34.66502380371094,-29.180648803710938,-32.72227478027344
2012-01-01-02,-34.34193801879883,-34.82879638671875,-29.35369873046875,-32.70623779296875
2012-01-01-03,-35.18929672241211,-35.75910949707031,-31.031082153320312,-33.42488098144531
2012-01-01-04,-35.337772369384766,-36.222076416015625,-30.322906494140625,-33.892974853515625
2012-01-01-05,-34.868797302246094,-35.967376708984375,-29.182220458984375,-33.774017333984375
2012-01-01-06,-34.17873764038086,-35.53208923339844,-28.933212280273438,-32.74229431152344
2012-01-01-07,-34.49562454223633,-35.95831298828125,-30.16973876953125,-32.89324951171875
2012-01-01-08,-34.72970199584961,-36.21258544921875,-30.23065185546875,-33.35797119140625
2012-01-01-09,-34.42060089111328,-36.04307556152344,-29.005477905273438,-32.58482360839844
2012-01-01-10,-35.93570327758789,-37.30720520019531,-32.44587707519531,-34.07331848144531
2012-01-01-11,-34.81937789916992,-36.03517150878906,-31.735610961914062,-33.32777404785156
2012-01-01-12,-34.60248947143555,-35.814361572265625,-32.154815673828125,-32.952178955078125
2012-01-01-13,-36.30589294433594,-37.668304443359375,-33.545501708984375,-34.462005615234375
2012-01-01-14,-36.41648864746094,-37.833251953125,-33.2535400390625,-34.3616943359375
2012-01-01-15,-36.10426712036133,-37.09356689453125,-32.59771728515625,-33.65179443359375
2012-01-01-16,-36.110595703125,-36.92637634277344,-33.31187438964844,-33.53013610839844
2012-01-01-17,-35.665283203125,-36.30128479003906,-32.91456604003906,-33.64686584472656
2012-01-01-18,-36.573463439941406,-36.895538330078125,-33.334259033203125,-34.387115478515625
2012-01-01-19,-36.59020233154297,-36.60160827636719,-33.38163757324219,-34.68144226074219
2012-01-01-20,-35.81052017211914,-35.47560119628906,-32.37379455566406,-33.32826232910156
2012-01-01-21,-34.53031539916992,-34.22914123535156,-30.521377563476562,-31.710098266601562
2012-01-01-22,-35.75157928466797,-35.37516784667969,-31.774337768554688,-33.91423034667969
2012-01-01-23,-35.35544204711914,-34.29869079589844,-31.420028686523438,-33.52793884277344
2012-01-02-00,-35.09828186035156,-33.710235595703125,-31.156524658203125,-32.828155517578125
2012-01-02-01,-34.71720886230469,-33.30998229980469,-30.436691284179688,-33.00431823730469
2012-01-02-02,-34.64665222167969,-33.347198486328125,-30.838165283203125,-32.560333251953125
2012-01-02-03,-34.07075500488281,-33.055023193359375,-29.896087646484375,-32.308197021484375
2012-01-02-04,-32.10313415527344,-31.977020263671875,-28.138885498046875,-30.557342529296875
2012-01-02-05,-31.844970703125,-31.556289672851562,-28.412734985351562,-30.586563110351562
2012-01-02-06,-31.48758888244629,-31.248291015625,-28.331298828125,-30.268310546875
2012-01-02-07,-31.100690841674805,-30.718597412109375,-28.579559326171875,-30.125946044921875
2012-01-02-08,-30.719478607177734,-30.327117919921875,-28.566375732421875,-29.789520263671875
2012-01-02-09,-29.54322052001953,-29.169509887695312,-27.968826293945312,-28.843338012695312
2012-01-02-10,-30.204193115234375,-29.820159912109375,-28.962127685546875,-29.271453857421875
2012-01-02-11,-30.39219856262207,-30.33447265625,-29.041748046875,-29.2738037109375
2012-01-02-12,-30.862876892089844,-30.872161865234375,-29.454010009765625,-29.571868896484375
2012-01-02-13,-30.32362174987793,-30.579391479492188,-28.511337280273438,-28.878036499023438
2012-01-02-14,-29.82304573059082,-30.19305419921875,-27.56060791015625,-28.36822509765625
2012-01-02-15,-29.47095489501953,-29.71978759765625,-26.72076416015625,-28.16961669921875
2012-01-02-16,-29.04368782043457,-29.0465087890625,-26.1202392578125,-27.337158203125
2012-01-02-17,-28.62110137939453,-28.365554809570312,-25.322708129882812,-27.102249145507812
2012-01-02-18,-28.577640533447266,-28.073516845703125,-24.892486572265625,-27.016632080078125
2012-01-02-19,-28.79053497314453,-28.362625122070312,-24.356399536132812,-27.671829223632812
2012-01-02-20,-28.77274513244629,-28.239517211914062,-24.326675415039062,-27.570693969726562
2012-01-02-21,-28.49917221069336,-28.689468383789062,-23.829605102539062,-26.587173461914062
2012-01-02-22,-27.92353630065918,-28.85272216796875,-23.14056396484375,-25.58270263671875
2012-01-02-23,-27.962369918823242,-29.304397583007812,-22.923416137695312,-25.331619262695312
2012-01-03-00,-28.55350685119629,-29.967056274414062,-23.071548461914062,-25.458511352539062
2012-01-03-01,-29.33330535888672,-31.07861328125,-23.450439453125,-25.955810546875
2012-01-03-02,-30.363059997558594,-32.154754638671875,-24.359344482421875,-26.551971435546875
2012-01-03-03,-31.650522232055664,-34.039276123046875,-25.363494873046875,-27.929656982421875
2012-01-03-04,-31.87386703491211,-33.84126281738281,-26.232620239257812,-28.401321411132812
2012-01-03-05,-32.077354431152344,-33.598052978515625,-26.503814697265625,-29.232086181640625
2012-01-03-06,-33.06010437011719,-33.57548522949219,-27.895065307617188,-30.398727416992188
2012-01-03-07,-33.27565002441406,-33.460845947265625,-27.966705322265625,-30.848785400390625
2012-01-03-08,-33.74319076538086,-33.99745178222656,-28.516738891601562,-30.992324829101562
2012-01-03-09,-33.38470458984375,-33.16975402832031,-29.215164184570312,-32.24494934082031
2012-01-03-10,-34.43355178833008,-34.3619384765625,-29.1929931640625,-33.6600341796875
2012-01-03-11,-34.00077819824219,-34.19145202636719,-28.629196166992188,-33.07133483886719
2012-01-03-12,-34.76735305786133,-35.12995910644531,-29.321609497070312,-34.31306457519531
2012-01-03-13,-35.19675827026367,-35.72822570800781,-30.121536254882812,-34.45893859863281
2012-01-03-14,-35.50442886352539,-36.10588073730469,-30.681564331054688,-34.30558776855469
2012-01-03-15,-35.850990295410156,-35.865570068359375,-32.674407958984375,-34.623870849609375
2012-01-03-16,-35.6171989440918,-35.183624267578125,-34.133148193359375,-34.479766845703125
2012-01-03-17,-35.74901580810547,-35.42230224609375,-33.90960693359375,-34.59454345703125
2012-01-03-18,-35.55588150024414,-35.1578369140625,-33.4287109375,-34.8369140625
2012-01-03-19,-35.527488708496094,-35.164276123046875,-33.628387451171875,-34.500213623046875
2012-01-03-20,-35.03289794921875,-34.72883605957031,-33.04939270019531,-33.72224426269531
2012-01-03-21,-35.063777923583984,-35.488555908203125,-31.945343017578125,-33.441802978515625
2012-01-03-22,-35.04665756225586,-35.40673828125,-30.532470703125,-33.048583984375
2012-01-03-23,-35.063880920410156,-35.003387451171875,-30.362518310546875,-32.568572998046875
2012-01-04-00,-34.433990478515625,-34.249908447265625,-29.454010009765625,-31.572174072265625
2012-01-04-01,-34.10281753540039,-33.92549133300781,-29.413040161132812,-31.075393676757812
2012-01-04-02,-33.51713562011719,-33.71879577636719,-28.866012573242188,-29.918746948242188
2012-01-04-03,-34.757476806640625,-35.883453369140625,-30.491119384765625,-31.457672119140625
2012-01-04-04,-34.6855354309082,-35.824127197265625,-29.931060791015625,-31.194000244140625
2012-01-04-05,-35.09349060058594,-36.65989685058594,-30.165267944335938,-31.947006225585938
2012-01-04-06,-34.78260040283203,-36.53865051269531,-30.278396606445312,-31.807693481445312
2012-01-04-07,-34.611080169677734,-36.372283935546875,-30.250335693359375,-31.719329833984375
2012-01-04-08,-34.326839447021484,-35.861236572265625,-30.069854736328125,-31.814605712890625
2012-01-04-09,-32.48403549194336,-33.82472229003906,-28.315200805664062,-30.078018188476562
2012-01-04-10,-32.99494934082031,-33.00407409667969,-29.306320190429688,-31.587936401367188
2012-01-04-11,-33.02229309082031,-32.649749755859375,-29.228729248046875,-32.380950927734375
2012-01-04-12,-32.430599212646484,-32.119293212890625,-28.413970947265625,-31.851837158203125
2012-01-04-13,-32.27388000488281,-32.30157470703125,-28.34893798828125,-31.83538818359375
2012-01-04-14,-31.9404296875,-32.12294006347656,-28.157974243164062,-31.571304321289062
2012-01-04-15,-30.93824005126953,-31.031204223632812,-26.991165161132812,-30.827346801757812
2012-01-04-16,-30.40023422241211,-30.532638549804688,-27.092086791992188,-30.183029174804688
2012-01-04-17,-30.44443130493164,-30.572250366210938,-27.601669311523438,-29.848983764648438
2012-01-04-18,-30.29500389099121,-30.593490600585938,-27.504379272460938,-29.656234741210938
2012-01-04-19,-29.89600372314453,-30.030197143554688,-27.434616088867188,-29.300216674804688
2012-01-04-20,-29.856855392456055,-29.833282470703125,-27.558502197265625,-28.891876220703125
2012-01-04-21,-29.74607276916504,-29.22161865234375,-27.73248291015625,-28.89593505859375
2012-01-04-22,-28.97378158569336,-29.0062255859375,-26.7403564453125,-27.6640625
2012-01-04-23,-28.88824462890625,-28.646163940429688,-26.806198120117188,-27.715621948242188
2012-01-05-00,-28.581525802612305,-28.364593505859375,-25.781341552734375,-28.058563232421875
