time,tcc_mean,tcc_median,tcc_max,tcc_p75
2015-01-01-00,0.9076451063156128,0.9833566546440125,0.9999963641166687,0.9920923113822937
2015-01-01-01,0.8361769318580627,0.9878814816474915,0.9999969601631165,0.996044933795929
2015-01-01-02,0.844730794429779,0.9969931840896606,0.9999991655349731,0.9999991655349731
2015-01-01-03,0.9265606999397278,0.9930407404899597,0.9999987483024597,0.9999987483024597
2015-01-01-04,0.97122722864151,0.9793256521224976,0.9999994039535522,0.9999994039535522
2015-01-01-05,0.9753775000572205,0.9791286587715149,0.9974563717842102,0.9939029812812805
2015-01-01-06,0.9809592366218567,0.9964866042137146,0.9999999403953552,0.9995211958885193
2015-01-01-07,0.9933607578277588,1.0,1.0,1.0
2015-01-01-08,0.9951854348182678,0.9989955425262451,1.000000238418579,1.000000238418579
2015-01-01-09,0.9953133463859558,0.9999998211860657,0.9999998211860657,0.9999998211860657
2015-01-01-10,0.9918222427368164,0.9918733239173889,1.0,0.9989472031593323
2015-01-01-11,0.9915134906768799,0.9929282665252686,1.000000238418579,0.9972054958343506
2015-01-01-12,0.9855787754058838,0.9868655800819397,0.9999995827674866,0.9918733239173889
2015-01-01-13,0.9779911041259766,0.9837704300880432,1.0,0.9978981614112854
2015-01-01-14,0.9657795429229736,0.975949227809906,1.0000009536743164,0.9964856505393982
2015-01-01-15,0.9342560172080994,0.9372687339782715,1.0000014305114746,0.9860930442810059
2015-01-01-16,0.915472149848938,0.9600244164466858,1.000002384185791,0.9848275780677795
2015-01-01-17,0.8496586084365845,0.9517415761947632,1.0000051259994507,0.9827169179916382
2015-01-01-18,0.8402456045150757,0.8780238032341003,1.0000026226043701,0.9552180171012878
2015-01-01-19,0.8097023963928223,0.9001556634902954,1.0000015497207642,0.9237991571426392
2015-01-01-20,0.7078938484191895,0.6854854822158813,0.9980007410049438,0.9070583581924438
2015-01-01-21,0.6358240842819214,0.5199556350708008,0.9999971389770508,0.9403352737426758
2015-01-01-22,0.6072614192962646,0.5445800423622131,0.9540801644325256,0.9376311898231506
2015-01-01-23,0.6922332644462585,0.7666367888450623,0.9899949431419373,0.9340562224388123
2015-01-02-00,0.8092050552368164,0.8803059458732605,0.9999958872795105,0.9878804087638855
2015-01-02-01,0.8540074825286865,0.874394953250885,0.9999976754188538,0.9999976754188538
2015-01-02-02,0.8267862796783447,0.9055894613265991,0.9999955892562866,0.9999955892562866
2015-01-02-03,0.7472563982009888,0.9960424900054932,0.9999945163726807,0.9999945163726807
2015-01-02-04,0.7276365756988525,0.9899877309799194,0.9999974966049194,0.9999974966049194
2015-01-02-05,0.7147055864334106,0.9925291538238525,1.0000059604644775,0.99483323097229
2015-01-02-06,0.7007874250411987,0.946343719959259,0.999993622303009,0.999993622303009
2015-01-02-07,0.5860751867294312,0.8549774289131165,0.9999969601631165,0.9999969601631165
2015-01-02-08,0.5008924007415771,0.31607288122177124,1.000002384185791,0.9403404593467712
2015-01-02-09,0.3859291970729828,0.1713940054178238,1.0000072717666626,0.5768657922744751
2015-01-02-10,0.36039799451828003,0.16762012243270874,1.000002384185791,0.48289722204208374
2015-01-02-11,0.3264438211917877,0.16261190176010132,0.9915913939476013,0.3787221312522888
2015-01-02-12,0.2977539300918579,0.13371175527572632,0.9864339232444763,0.3220204710960388
2015-01-02-13,0.2795223295688629,0.0847184956073761,0.9807603359222412,0.3790910542011261
2015-01-02-14,0.2653825581073761,0.064056396484375,0.9707489013671875,0.3385467529296875
2015-01-02-15,0.2349497526884079,0.05462646484375,0.9292144775390625,0.3209228515625
2015-01-02-16,0.2067989706993103,0.0489654541015625,0.8539886474609375,0.245025634765625
