time,temp_mean,temp_median,temp_max,temp_p75
2015-01-01-00,-1.9447394609451294,-2.084686279296875,-0.226409912109375,-1.766571044921875
2015-01-01-03,-2.4783427715301514,-2.259368896484375,-1.245025634765625,-1.764190673828125
2015-01-01-06,-3.3029751777648926,-3.177337646484375,-1.866424560546875,-2.887908935546875
2015-01-01-09,-5.38832950592041,-4.457733154296875,-2.857025146484375,-4.200531005859375
2015-01-01-12,-6.57950496673584,-5.019622802734375,-3.760223388671875,-4.544281005859375
2015-01-01-15,-7.378618240356445,-5.285003662109375,-4.246429443359375,-5.027435302734375
2015-01-01-18,-7.89174747467041,-6.474700927734375,-4.346038818359375,-4.658050537109375
2015-01-01-21,-9.77588939666748,-9.623626708984375,-4.691497802734375,-5.078216552734375
2015-01-02-00,-10.723236083984375,-11.596038818359375,-5.489837646484375,-6.819183349609375
2015-01-02-03,-13.66043472290039,-14.50909423828125,-7.51470947265625,-10.19635009765625
2015-01-02-06,-15.521628379821777,-15.880645751953125,-9.552276611328125,-12.778594970703125
2015-01-02-09,-18.825841903686523,-18.607925415039062,-14.044708251953125,-16.185577392578125
2015-01-02-12,-19.79282569885254,-18.565689086914062,-15.818878173828125,-16.885772705078125
2015-01-02-15,-19.879281997680664,-19.079071044921875,-15.768768310546875,-17.050506591796875
2015-01-02-18,-19.549081802368164,-18.760589599609375,-14.888275146484375,-16.710784912109375
2015-01-02-21,-20.11560821533203,-18.938003540039062,-15.620635986328125,-16.971954345703125
2015-01-03-00,-18.845964431762695,-16.085174560546875,-14.828582763671875,-15.736053466796875
2015-01-03-03,-20.532703399658203,-18.076950073242188,-16.355255126953125,-17.675582885742188
2015-01-03-06,-22.046504974365234,-20.558059692382812,-17.102020263671875,-19.169387817382812
2015-01-03-09,-21.97574806213379,-19.87890625,-16.424072265625,-19.40380859375
2015-01-03-12,-20.13441276550293,-17.860595703125,-14.0302734375,-17.214599609375
2015-01-03-15,-20.20714569091797,-18.390518188476562,-13.851226806640625,-17.069244384765625
2015-01-03-18,-20.497251510620117,-18.851333618164062,-14.235137939453125,-17.185073852539062
2015-01-03-21,-21.68541717529297,-20.17462158203125,-15.15313720703125,-18.16973876953125
2015-01-04-00,-21.501869201660156,-19.494216918945312,-14.276947021484375,-17.775466918945312
2015-01-04-03,-22.63205909729004,-21.54962158203125,-16.22857666015625,-19.32012939453125
2015-01-04-06,-23.61249542236328,-21.7900390625,-17.732666015625,-20.383056640625
2015-01-04-09,-24.394428253173828,-22.344406127929688,-18.266769409179688,-20.782150268554688
2015-01-04-12,-24.246238708496094,-23.186019897460938,-15.246063232421875,-21.402816772460938
2015-01-04-15,-25.219085693359375,-24.856781005859375,-15.318695068359375,-20.566253662109375
2015-01-04-18,-24.653757095336914,-22.994522094726562,-15.214263916015625,-20.754776000976562
2015-01-04-21,-24.088626861572266,-23.318496704101562,-16.976226806640625,-21.161270141601562
2015-01-05-00,-26.769933700561523,-27.377761840820312,-17.616531372070312,-22.785476684570312
2015-01-05-03,-28.310279846191406,-28.720870971679688,-19.436203002929688,-25.135421752929688
2015-01-05-06,-28.71395492553711,-29.865921020507812,-20.191848754882812,-26.555374145507812
2015-01-05-09,-28.62872314453125,-30.45245361328125,-20.35186767578125,-27.56500244140625
2015-01-05-12,-30.28976058959961,-31.08197021484375,-21.85247802734375,-28.23992919921875
2015-01-05-15,-29.68564796447754,-29.21746826171875,-21.01483154296875,-27.95550537109375
2015-01-05-18,-30.21810531616211,-28.454055786132812,-21.528274536132812,-27.484817504882812
2015-01-05-21,-29.12834358215332,-26.647872924804688,-21.018478393554688,-24.904708862304688
2015-01-06-00,-28.98094940185547,-24.921218872070312,-22.008621215820312,-23.002273559570312
2015-01-06-03,-27.008323669433594,-22.907791137695312,-19.326736450195312,-22.185623168945312
2015-01-06-06,-25.36425018310547,-21.72015380859375,-17.15277099609375,-21.25726318359375
2015-01-06-09,-23.731157302856445,-20.654876708984375,-15.160736083984375,-19.600677490234375
2015-01-06-12,-24.174848556518555,-20.747604370117188,-15.714385986328125,-19.966842651367188
2015-01-06-15,-23.95826530456543,-20.1990966796875,-15.8509521484375,-19.8665771484375
2015-01-06-18,-24.27548599243164,-20.5179443359375,-16.4364013671875,-20.1116943359375
2015-01-06-21,-23.59717559814453,-19.94342041015625,-16.07720947265625,-19.56402587890625
2015-01-07-00,-22.71308135986328,-19.768310546875,-16.130615234375,-18.567138671875
2015-01-07-03,-21.815439224243164,-19.381195068359375,-15.527191162109375,-18.007659912109375
2015-01-07-06,-20.879579544067383,-18.479354858398438,-14.281097412109375,-17.640975952148438
2015-01-07-09,-20.95922088623047,-18.990737915039062,-15.138214111328125,-18.376968383789062
2015-01-07-12,-19.065149307250977,-17.800399780273438,-13.794036865234375,-16.759857177734375
2015-01-07-15,-18.392356872558594,-17.620819091796875,-13.720184326171875,-16.588104248046875
2015-01-07-18,-18.93693733215332,-17.96490478515625,-14.67926025390625,-17.41656494140625
2015-01-07-21,-18.729270935058594,-17.543914794921875,-14.922332763671875,-15.977508544921875
2015-01-08-00,-17.97274398803711,-17.33013916015625,-14.86529541015625,-15.19903564453125
2015-01-08-03,-19.374961853027344,-19.202102661132812,-15.545379638671875,-16.972137451171875
2015-01-08-06,-19.628868103027344,-18.731399536132812,-15.129119873046875,-16.834930419921875
2015-01-08-09,-18.990772247314453,-17.379409790039062,-13.990020751953125,-16.015655517578125
2015-01-08-12,-18.496273040771484,-16.604156494140625,-13.561187744140625,-14.004302978515625
2015-01-08-15,-17.815303802490234,-16.084075927734375,-11.916595458984375,-13.225677490234375
2015-01-08-18,-18.955507278442383,-18.015396118164062,-12.283966064453125,-14.704864501953125
2015-01-08-21,-18.075029373168945,-17.239471435546875,-10.534393310546875,-13.252166748046875
2015-01-09-00,-17.909555435180664,-17.136016845703125,-8.698028564453125,-11.020294189453125
2015-01-09-03,-16.666152954101562,-15.800262451171875,-6.320281982421875,-9.089813232421875
2015-01-09-06,-15.441757202148438,-14.464874267578125,-5.284210205078125,-7.460968017578125
2015-01-09-09,-13.109593391418457,-11.178436279296875,-3.489959716796875,-5.819549560546875
2015-01-09-12,-14.240500450134277,-13.078765869140625,-5.451324462890625,-7.707672119140625
2015-01-09-15,-12.802043914794922,-11.969085693359375,-4.443206787109375,-6.259613037109375
2015-01-09-18,-12.379199981689453,-11.247955322265625,-4.848541259765625,-5.931549072265625
2015-01-09-21,-10.660210609436035,-8.542205810546875,-4.606414794921875,-5.475555419921875
2015-01-10-00,-10.289666175842285,-8.47882080078125,-4.90631103515625,-5.72271728515625
2015-01-10-03,-9.644729614257812,-7.154388427734375,-4.989105224609375,-5.780364990234375
2015-01-10-06,-9.36074161529541,-8.175140380859375,-4.968109130859375,-5.805267333984375
2015-01-10-09,-9.18813419342041,-6.812835693359375,-5.090667724609375,-6.287933349609375
2015-01-10-12,-9.153438568115234,-7.391937255859375,-5.127044677734375,-5.542572021484375
2015-01-10-15,-8.907344818115234,-6.641937255859375,-4.042083740234375,-5.436614990234375
2015-01-10-18,-8.704952239990234,-7.081390380859375,-3.455902099609375,-5.273284912109375
2015-01-10-21,-8.912065505981445,-7.402435302734375,-3.283050537109375,-5.158782958984375
2015-01-11-00,-8.41762638092041,-7.741790771484375,-3.510101318359375,-6.062591552734375
2015-01-11-03,-8.956661224365234,-8.352874755859375,-3.285980224609375,-6.384857177734375
2015-01-11-06,-10.075178146362305,-8.868011474609375,-3.721282958984375,-6.769378662109375
2015-01-11-09,-10.243961334228516,-9.269134521484375,-4.088714599609375,-7.200531005859375
2015-01-11-12,-9.54444408416748,-7.964447021484375,-4.170257568359375,-7.276702880859375
2015-01-11-15,-8.984249114990234,-7.228851318359375,-4.161224365234375,-5.760589599609375
2015-01-11-18,-9.09831714630127,-8.203704833984375,-4.955413818359375,-5.653900146484375
2015-01-11-21,-9.124603271484375,-8.073577880859375,-5.017425537109375,-6.637298583984375
2015-01-12-00,-8.165971755981445,-7.219329833984375,-3.514739990234375,-5.038665771484375
2015-01-12-03,-8.348480224609375,-6.749359130859375,-4.035247802734375,-5.063812255859375
2015-01-12-06,-8.662797927856445,-7.957122802734375,-4.323089599609375,-5.347747802734375
2015-01-12-09,-9.509368896484375,-8.193695068359375,-4.682708740234375,-5.983978271484375
2015-01-12-12,-8.80716609954834,-8.107025146484375,-3.261077880859375,-4.978363037109375
2015-01-12-15,-9.185150146484375,-8.070892333984375,-3.292083740234375,-5.460540771484375
2015-01-12-18,-9.18789005279541,-8.432708740234375,-2.593109130859375,-6.453704833984375
2015-01-12-21,-9.959835052490234,-9.369720458984375,-2.995208740234375,-7.936859130859375
2015-01-13-00,-9.689517974853516,-8.237152099609375,-3.742279052734375,-6.706390380859375
2015-01-13-03,-11.89112377166748,-10.152191162109375,-7.994720458984375,-9.975433349609375
2015-01-13-06,-12.249576568603516,-11.177825927734375,-8.234710693359375,-9.888763427734375
2015-01-13-09,-14.209077835083008,-13.578155517578125,-10.150299072265625,-12.204742431640625
2015-01-13-12,-13.06635570526123,-12.337921142578125,-7.608184814453125,-11.230987548828125
2015-01-13-15,-11.27584457397461,-10.644927978515625,-4.546051025390625,-7.550201416015625
2015-01-13-18,-10.74559211730957,-9.9407958984375,-3.7869873046875,-6.0819091796875
2015-01-13-21,-9.507058143615723,-8.435821533203125,-2.021759033203125,-4.742218017578125
2015-01-14-00,-10.34599494934082,-9.365631103515625,-2.559967041015625,-5.334869384765625
2015-01-14-03,-10.07713508605957,-9.310211181640625,-2.168121337890625,-4.489410400390625
2015-01-14-06,-10.96357536315918,-9.178009033203125,-3.860382080078125,-5.751495361328125
