time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2016-01-01-00,7.267870678012898e-05,0.0,0.0003395543899387121,0.0,0.0
2016-01-01-03,0.004169900728383791,0.00036368146538734436,0.02080574631690979,0.00592181459069252,0.0
2016-01-01-06,0.0010234543901921206,0.00019441358745098114,0.005128909833729267,0.0004913890734314919,0.0
2016-01-01-09,0.00020678225350718584,0.0,0.0009214418241754174,0.00029084912966936827,0.0
2016-01-01-12,0.00015636130630906027,0.0,0.0007748312782496214,0.00014543184079229832,0.0
2016-01-01-15,6.701821979515276e-05,0.0,0.0005813053576275706,0.0,0.0
2016-01-01-18,0.0,0.0,0.0,0.0,0.0
2016-01-02-00,0.01781375332622433,0.0011622905731201172,0.14536455273628235,0.0037886202335357666,0.1111111111111111
2016-01-02-03,0.020089734289538672,0.01033395528793335,0.11386536061763763,0.01597777009010315,0.1111111111111111
2016-01-02-06,0.0033383158734796416,0.0015704486286267638,0.011462025344371796,0.003926462028175592,0.0
2016-01-02-09,0.0009432308722231268,0.0001939479261636734,0.003583962097764015,0.0016274279914796352,0.0
2016-01-02-12,0.010913980462605624,0.0,0.0453609973192215,0.013026408851146698,0.0
2016-01-02-15,0.009855507893897785,0.007320661097764969,0.02725934609770775,0.016304198652505875,0.0
2016-01-02-18,0.004600919250618127,0.0030784867703914642,0.011682510375976562,0.007525552064180374,0.0
2016-01-02-21,0.0,0.0,0.0,0.0,0.0
2016-01-03-00,0.0,0.0,0.0,0.0,0.0
2016-01-03-03,0.0,0.0,0.0,0.0,0.0
2016-01-03-06,0.0021340413685201416,0.0017450656741857529,0.008784933015704155,0.0021299347281455994,0.0
2016-01-03-09,0.01956850144860081,0.0014528632164001465,0.11243484914302826,0.02434849739074707,0.1111111111111111
2016-01-03-12,0.0003533563436538114,0.0,0.0026782508939504623,0.00014511169865727425,0.0
2016-01-03-15,2.793753986879568e-05,0.0,0.000242325768340379,0.0,0.0
2016-01-03-18,0.0,0.0,0.0,0.0,0.0
2016-01-03-21,0.0038863347823409845,0.0,0.03436114639043808,0.0006789341568946838,0.0
2016-01-04-00,0.0,0.0,0.0,0.0,0.0
2016-01-04-03,0.0,0.0,0.0,0.0,0.0
2016-01-04-06,0.0,0.0,0.0,0.0,0.0
2016-01-04-09,0.0,0.0,0.0,0.0,0.0
2016-01-04-12,0.0,0.0,0.0,0.0,0.0
2016-01-04-15,0.0,0.0,0.0,0.0,0.0
2016-01-04-18,3.3531758556229956e-05,0.0,0.00029084912966936827,0.0,0.0
2016-01-04-21,0.0,0.0,0.0,0.0,0.0
2016-01-05-00,0.0,0.0,0.0,0.0,0.0
2016-01-05-03,0.0,0.0,0.0,0.0,0.0
2016-01-05-06,0.0,0.0,0.0,0.0,0.0
2016-01-05-09,0.0,0.0,0.0,0.0,0.0
2016-01-05-12,0.0,0.0,0.0,0.0,0.0
2016-01-05-15,0.0,0.0,0.0,0.0,0.0
2016-01-05-18,0.0,0.0,0.0,0.0,0.0
2016-01-05-21,0.0,0.0,0.0,0.0,0.0
2016-01-06-00,1.5071772527053858e-05,0.0,0.0001409607648383826,0.0,0.0
2016-01-06-03,1.5071772527053858e-05,0.0,0.0001409607648383826,0.0,0.0
2016-01-06-06,0.0,0.0,0.0,0.0,0.0
