time,humidity_mean,humidity_median,humidity_max,humidity_p75
2017-01-01-00,78.53897094726562,79.8175048828125,88.8170166015625,81.4112548828125
2017-01-01-01,78.07929992675781,79.94561767578125,88.32012939453125,81.85919189453125
2017-01-01-02,76.93807220458984,79.238037109375,86.444091796875,81.392333984375
2017-01-01-03,74.62606811523438,76.58537292480469,83.58976745605469,78.79289245605469
2017-01-01-04,70.53482055664062,71.45376586914062,78.44253540039062,73.92495727539062
2017-01-01-05,66.85395050048828,67.73402404785156,73.35731506347656,69.85975646972656
2017-01-01-06,63.29520797729492,63.7598876953125,68.5401611328125,66.4400634765625
2017-01-01-07,60.23381805419922,62.24000549316406,67.24098205566406,62.94508361816406
2017-01-01-08,58.80741500854492,59.59690856933594,65.52317810058594,61.86692810058594
2017-01-01-09,58.48417663574219,58.44245910644531,65.02156066894531,61.69099426269531
2017-01-01-10,61.29399108886719,62.04022216796875,66.30609130859375,64.23504638671875
2017-01-01-11,60.48734664916992,60.991302490234375,64.89022827148438,63.369476318359375
2017-01-01-12,59.10396957397461,59.03129577636719,63.83622741699219,62.74076843261719
2017-01-01-13,58.29949951171875,59.42840576171875,63.07586669921875,61.78875732421875
2017-01-01-14,57.79568862915039,60.05070495605469,63.20939636230469,60.86125183105469
2017-01-01-15,57.24277114868164,58.88185119628906,62.72242736816406,61.19313049316406
2017-01-01-16,56.80652618408203,58.61381530761719,62.84281921386719,61.39604187011719
2017-01-01-17,56.70643615722656,58.77284240722656,63.69471740722656,61.32655334472656
2017-01-01-18,56.344970703125,58.692138671875,65.007568359375,59.855712890625
2017-01-01-19,55.94359588623047,57.90019226074219,66.09257507324219,59.64237976074219
2017-01-01-20,55.11962127685547,57.12043762207031,65.66877746582031,59.68098449707031
2017-01-01-21,53.71097183227539,55.22892761230469,63.92277526855469,59.10002136230469
2017-01-01-22,52.01565933227539,53.40254211425781,61.77900695800781,58.48506164550781
2017-01-01-23,52.04224395751953,52.76359558105469,60.81584167480469,59.28947448730469
2017-01-02-00,52.993160247802734,53.657928466796875,60.860565185546875,59.574920654296875
2017-01-02-01,53.73423767089844,54.48912048339844,61.83335876464844,59.87290954589844
2017-01-02-02,54.17406463623047,54.77888488769531,62.67536926269531,59.68220520019531
2017-01-02-03,54.167938232421875,54.495086669921875,62.913055419921875,58.991668701171875
2017-01-02-04,54.18581008911133,54.42485046386719,62.53495788574219,58.67216491699219
2017-01-02-05,53.69406509399414,54.343017578125,61.620849609375,57.6865234375
2017-01-02-06,53.02578353881836,53.8443603515625,60.0635986328125,56.8270263671875
2017-01-02-07,51.87446975708008,53.07395935058594,57.98802185058594,55.56419372558594
2017-01-02-08,51.375797271728516,52.672943115234375,56.526214599609375,55.468841552734375
2017-01-02-09,51.04892349243164,51.84107971191406,56.06080627441406,55.04493713378906
2017-01-02-10,51.74356460571289,52.23884582519531,57.75251770019531,56.59431457519531
2017-01-02-11,52.737831115722656,54.638763427734375,59.024505615234375,56.600189208984375
2017-01-02-12,53.33568572998047,56.18806457519531,59.20881652832031,56.93244934082031
2017-01-02-13,53.5308952331543,55.990936279296875,59.082000732421875,58.646942138671875
2017-01-02-14,54.17327117919922,55.6395263671875,61.5169677734375,59.0765380859375
2017-01-02-15,54.9141845703125,55.1910400390625,63.7725830078125,60.1221923828125
2017-01-02-16,55.893428802490234,57.662689208984375,66.04257202148438,61.094818115234375
2017-01-02-17,56.71414566040039,59.48579406738281,67.44233703613281,61.90278625488281
2017-01-02-18,56.9451904296875,60.0301513671875,67.2098388671875,61.5340576171875
2017-01-02-19,56.58076477050781,59.356536865234375,66.07186889648438,61.390228271484375
2017-01-02-20,55.482582092285156,57.264862060546875,63.634979248046875,60.296112060546875
2017-01-02-21,54.1444091796875,55.0130615234375,61.3941650390625,58.4864501953125
2017-01-02-22,54.988037109375,53.739990234375,60.964111328125,59.24072265625
2017-01-02-23,53.405147552490234,52.733489990234375,59.288665771484375,57.101898193359375
2017-01-03-00,52.35002899169922,52.75828552246094,57.66575622558594,56.08909606933594
2017-01-03-01,51.82149124145508,53.05491638183594,57.48680114746094,55.17601013183594
2017-01-03-02,51.08695602416992,52.36061096191406,57.74147033691406,53.60084533691406
2017-01-03-03,50.71076965332031,51.694549560546875,58.044647216796875,52.732635498046875
2017-01-03-04,50.38821029663086,50.147216796875,58.736083984375,51.890869140625
2017-01-03-05,50.55558776855469,49.674835205078125,60.214385986328125,52.516143798828125
2017-01-03-06,50.594017028808594,50.470428466796875,61.297576904296875,52.973846435546875
2017-01-03-07,50.882606506347656,49.635589599609375,62.482757568359375,53.909027099609375
2017-01-03-08,51.28170394897461,49.98895263671875,63.45037841796875,53.84783935546875
2017-01-03-09,51.63555145263672,50.53627014160156,64.00892639160156,54.02064514160156
2017-01-03-10,57.38412094116211,57.98258972167969,67.40251159667969,59.67790222167969
2017-01-03-11,57.18276596069336,58.378997802734375,65.93270874023438,58.871673583984375
2017-01-03-12,56.236392974853516,56.778167724609375,64.84457397460938,57.793304443359375
2017-01-03-13,55.5431022644043,55.737762451171875,64.82711791992188,56.486785888671875
2017-01-03-14,54.909427642822266,54.473663330078125,65.08401489257812,56.751007080078125
2017-01-03-15,54.23536682128906,53.44065856933594,65.61546325683594,56.47337341308594
2017-01-03-16,54.228675842285156,52.948455810546875,67.65792846679688,55.369354248046875
2017-01-03-17,54.87396240234375,53.22259521484375,71.14202880859375,58.51751708984375
2017-01-03-18,56.71968078613281,52.331878662109375,75.45053100585938,63.281585693359375
2017-01-03-19,59.30911636352539,56.83526611328125,79.77618408203125,67.36260986328125
2017-01-03-20,62.12081527709961,61.29182434082031,83.38850402832031,70.22932434082031
2017-01-03-21,64.45089721679688,64.40457153320312,85.62527465820312,72.35867309570312
2017-01-03-22,71.84524536132812,74.42445373535156,90.19007873535156,81.11488342285156
2017-01-03-23,72.73942565917969,76.55767822265625,90.22857666015625,82.40045166015625
2017-01-04-00,74.31900787353516,78.81065368652344,90.41514587402344,83.74229431152344
2017-01-04-01,74.85763549804688,79.81423950195312,90.10623168945312,85.05252075195312
2017-01-04-02,75.39732360839844,81.13430786132812,89.59622192382812,85.75247192382812
2017-01-04-03,76.09011840820312,82.33621215820312,89.13504028320312,85.50418090820312
2017-01-04-04,76.75663757324219,83.33915710449219,89.00907897949219,86.19560241699219
2017-01-04-05,77.33055877685547,83.59260559082031,88.87239074707031,86.32453918457031
2017-01-04-06,78.36321258544922,84.34519958496094,89.24266052246094,86.48582458496094
2017-01-04-07,79.16680145263672,85.14976501464844,89.77037048339844,86.93101501464844
2017-01-04-08,80.02637481689453,85.63862609863281,90.71235656738281,87.89204406738281
2017-01-04-09,81.28932189941406,86.45164489746094,91.57810974121094,88.93406677246094
2017-01-04-10,86.05766296386719,91.16351318359375,93.71282958984375,91.56585693359375
2017-01-04-11,85.94693756103516,90.99240112304688,92.88546752929688,91.32101440429688
2017-01-04-12,86.80702209472656,91.08653259277344,93.22032165527344,91.98594665527344
2017-01-04-13,88.1766128540039,91.78108215332031,93.72126770019531,92.54988098144531
2017-01-04-14,89.64715576171875,92.69587707519531,94.56794738769531,93.28889465332031
2017-01-04-15,90.73421478271484,92.5234375,95.456298828125,94.2685546875
2017-01-04-16,91.69364166259766,92.33877563476562,96.73843383789062,95.70840454101562
2017-01-04-17,92.3604736328125,91.47665405273438,97.64096069335938,95.74667358398438
2017-01-04-18,92.9886474609375,91.1917724609375,98.0535888671875,96.1290283203125
2017-01-04-19,93.69054412841797,91.88154602050781,98.81221008300781,97.19258117675781
2017-01-04-20,93.92264556884766,93.47947692871094,99.15306091308594,97.25535583496094
2017-01-04-21,94.36289978027344,93.53829956054688,99.47213745117188,97.56076049804688
