time,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1
2017-01-01-07,0.014613980883573052,0.00845547765493393,0.060102902352809906,0.012327916920185089,0.0
2017-01-01-08,0.007317706262669346,0.00762520357966423,0.01686764881014824,0.009481329470872879,0.0
2017-01-01-09,0.007763420857926282,0.007253182120621204,0.016043003648519516,0.011980109848082066,0.0
2017-01-01-10,0.003505446633461596,0.0020314473658800125,0.00812159851193428,0.00656861811876297,0.0
2017-01-01-11,0.000292435971479882,0.0,0.0012564414646476507,0.00029086368158459663,0.0
2017-01-01-12,0.0,0.0,0.0,0.0,0.0
2017-01-01-13,0.0,0.0,0.0,0.0,0.0
2017-01-01-14,0.0,0.0,0.0,0.0,0.0
2017-01-01-15,0.0,0.0,0.0,0.0,0.0
2017-01-01-16,0.0,0.0,0.0,0.0,0.0
2017-01-01-17,0.0,0.0,0.0,0.0,0.0
2017-01-01-18,0.0,0.0,0.0,0.0,0.0
2017-01-01-19,0.0,0.0,0.0,0.0,0.0
2017-01-01-20,0.0,0.0,0.0,0.0,0.0
2017-01-01-21,0.0,0.0,0.0,0.0,0.0
2017-01-01-22,0.0,0.0,0.0,0.0,0.0
2017-01-01-23,0.0,0.0,0.0,0.0,0.0
2017-01-02-00,0.0,0.0,0.0,0.0,0.0
2017-01-02-01,0.0,0.0,0.0,0.0,0.0
2017-01-02-02,0.0,0.0,0.0,0.0,0.0
2017-01-02-03,0.0,0.0,0.0,0.0,0.0
2017-01-02-04,0.0,0.0,0.0,0.0,0.0
2017-01-02-05,0.0,0.0,0.0,0.0,0.0
2017-01-02-06,0.0,0.0,0.0,0.0,0.0
2017-01-02-07,0.0,0.0,0.0,0.0,0.0
2017-01-02-08,0.0,0.0,0.0,0.0,0.0
2017-01-02-09,0.0,0.0,0.0,0.0,0.0
2017-01-02-10,0.0,0.0,0.0,0.0,0.0
2017-01-02-11,0.0,0.0,0.0,0.0,0.0
2017-01-02-12,0.0,0.0,0.0,0.0,0.0
2017-01-02-13,7.20373702459614e-05,0.0,0.0006737391231581569,0.0,0.0
2017-01-02-14,0.0,0.0,0.0,0.0,0.0
2017-01-02-15,0.0,0.0,0.0,0.0,0.0
2017-01-02-16,0.0,0.0,0.0,0.0,0.0
2017-01-02-17,0.0,0.0,0.0,0.0,0.0
2017-01-02-18,0.0,0.0,0.0,0.0,0.0
2017-01-02-19,0.0,0.0,0.0,0.0,0.0
2017-01-02-20,0.0,0.0,0.0,0.0,0.0
2017-01-02-21,0.0,0.0,0.0,0.0,0.0
2017-01-02-22,7.20373702459614e-05,0.0,0.0006737391231581569,0.0,0.0
2017-01-02-23,0.0001080583892434398,0.0,0.0010106305126100779,0.0,0.0
2017-01-03-00,0.0002161167784868796,0.0,0.0020212610252201557,0.0,0.0
2017-01-03-01,0.0003601884071461388,0.0,0.0033687101677060127,0.0,0.0
2017-01-03-02,0.0002881494809838456,0.0,0.0026949564926326275,0.0,0.0
2017-01-03-03,7.20373702459614e-05,0.0,0.0006737391231581569,0.0,0.0
2017-01-03-04,0.0,0.0,0.0,0.0,0.0
2017-01-03-05,0.0,0.0,0.0,0.0,0.0
2017-01-03-06,0.0,0.0,0.0,0.0,0.0
2017-01-03-07,0.0,0.0,0.0,0.0,0.0
2017-01-03-08,0.0,0.0,0.0,0.0,0.0
2017-01-03-09,0.0,0.0,0.0,0.0,0.0
2017-01-03-10,0.0,0.0,0.0,0.0,0.0
2017-01-03-11,0.0,0.0,0.0,0.0,0.0
2017-01-03-12,0.0,0.0,0.0,0.0,0.0
2017-01-03-13,0.0003601884071461388,0.0,0.0033687101677060127,0.0,0.0
2017-01-03-14,0.0019818639867922806,0.0,0.018491875380277634,0.0,0.0
2017-01-03-15,0.005427949833243216,0.0,0.04838872700929642,0.00024121254682540894,0.0
2017-01-03-16,0.009211422062060657,0.0,0.07054954767227173,0.003460794687271118,0.0
2017-01-03-17,0.009421188602909138,0.0007273629307746887,0.053064897656440735,0.011849217116832733,0.0
2017-01-03-18,0.0075315712121930955,0.00400003045797348,0.022510532289743423,0.015340745449066162,0.0
2017-01-03-19,0.012224122417921413,0.007071532309055328,0.036279670894145966,0.022528693079948425,0.0
2017-01-03-20,0.01650767386843516,0.011496245861053467,0.048259273171424866,0.027468428015708923,0.0
2017-01-03-21,0.015374016214824739,0.009261071681976318,0.050123780965805054,0.02438575029373169,0.0
2017-01-03-22,0.014826654583246767,0.01079123467206955,0.05383230745792389,0.018280930817127228,0.0
2017-01-03-23,0.019242424628737428,0.010186806321144104,0.07072277367115021,0.021571293473243713,0.0
2017-01-04-00,0.0318016625600387,0.01735985279083252,0.11127442121505737,0.03793463110923767,0.1111111111111111
2017-01-04-01,0.052872743606579654,0.03619492053985596,0.16282498836517334,0.0705234706401825,0.2222222222222222
2017-01-04-02,0.08071960754144965,0.05175173282623291,0.2507120370864868,0.11338293552398682,0.3333333333333333
2017-01-04-03,0.10646747005957272,0.05420297384262085,0.3529787063598633,0.16269832849502563,0.3333333333333333
2017-01-04-04,0.11369603269398826,0.049754977226257324,0.39727985858917236,0.1644715666770935,0.3333333333333333
2017-01-04-05,0.11550873930435561,0.04847249761223793,0.42032352089881897,0.14748327434062958,0.3333333333333333
2017-01-04-06,0.1189910001035101,0.05204501375555992,0.41100654006004333,0.15095147490501404,0.3333333333333333
2017-01-04-07,0.13166029232299423,0.0856352150440216,0.4472491443157196,0.15015724301338196,0.3333333333333333
2017-01-04-08,0.15787375420763775,0.11939635872840881,0.45700451731681824,0.18528184294700623,0.5555555555555556
2017-01-04-09,0.20717690724654744,0.1732015311717987,0.49287617206573486,0.23282107710838318,0.7777777777777778
2017-01-04-10,0.2728180516437483,0.28263476490974426,0.5519732236862183,0.3159537613391876,0.8888888888888888
2017-01-04-11,0.3327964178565864,0.3195215165615082,0.6374229192733765,0.40134379267692566,0.8888888888888888
2017-01-04-12,0.37115634348600274,0.38303786516189575,0.6706153750419617,0.504199206829071,1.0
2017-01-04-13,0.3606385026746201,0.31275978684425354,0.5900554656982422,0.5517594814300537,0.8888888888888888
2017-01-04-14,0.3080955442537389,0.3558846414089203,0.5108343958854675,0.4377441704273224,0.7777777777777778
2017-01-04-15,0.23709875381152626,0.30083054304122925,0.4217013120651245,0.3188013434410095,0.6666666666666666
2017-01-04-16,0.19026659137422391,0.24319787323474884,0.35226693749427795,0.27049681544303894,0.6666666666666666
2017-01-04-17,0.16545505007964462,0.15817582607269287,0.359952449798584,0.2734735608100891,0.6666666666666666
2017-01-04-18,0.1554261321700082,0.06105005741119385,0.42442232370376587,0.3299638628959656,0.4444444444444444
2017-01-04-19,0.1409710328675565,0.005476176738739014,0.4170835018157959,0.3715977072715759,0.3333333333333333
2017-01-04-20,0.12086652183306673,0.0031221932731568813,0.3707338571548462,0.31468313932418823,0.3333333333333333
2017-01-04-21,0.08591037916593723,0.002905726432800293,0.27175992727279663,0.21154433488845825,0.3333333333333333
