time,tcc_mean,tcc_median,tcc_max,tcc_p75
2018-01-01-00,0.955220639705658,0.9999983906745911,0.9999983906745911,0.9999983906745911
2018-01-01-03,1.0,1.0,1.0,1.0
2018-01-01-06,0.9908301830291748,1.0000007152557373,1.0000007152557373,1.0000007152557373
2018-01-01-09,0.9161145687103271,0.9636076092720032,0.9944227337837219,0.9899900555610657
2018-01-01-12,0.8657311797142029,0.9644131660461426,0.9999966621398926,0.9970364570617676
2018-01-01-15,0.5901223421096802,0.7112448811531067,0.9960806965827942,0.9910758137702942
2018-01-01-18,0.36302006244659424,0.14277130365371704,0.919169008731842,0.8510385155677795
2018-01-01-21,0.0369177907705307,0.027008056640625,0.1604766845703125,0.039531707763671875
2018-01-02-00,0.8027517795562744,0.8835759162902832,1.0000004768371582,1.0000004768371582
2018-01-02-03,0.9992142915725708,1.0,1.0,1.0
2018-01-02-06,0.9992142915725708,1.0,1.0,1.0
2018-01-02-09,0.8425150513648987,0.9901396036148071,0.9999967813491821,0.9999967813491821
2018-01-02-12,0.9681878685951233,0.9878068566322327,0.9962411522865295,0.9962335228919983
2018-01-02-15,0.7473030686378479,0.8921700119972229,1.0000038146972656,0.9812813401222229
2018-01-02-18,0.9472783207893372,0.9959216117858887,1.0000033378601074,0.9981112480163574
2018-01-02-21,0.9750855565071106,0.9721379280090332,1.0000004768371582,0.9859137535095215
2018-01-03-00,0.9884651899337769,0.9999999403953552,0.9999999403953552,0.9999999403953552
2018-01-03-03,0.8806518316268921,0.9679762125015259,1.0000044107437134,0.9901472330093384
2018-01-03-06,0.6950569152832031,0.827372670173645,0.9865981340408325,0.94849693775177
2018-01-03-09,0.4114311933517456,0.344024658203125,1.0,0.7774658203125
2018-01-03-12,0.2781784236431122,0.18456405401229858,0.7018675208091736,0.5175566077232361
2018-01-03-15,0.3928808271884918,0.5024745464324951,0.7817714214324951,0.7022120952606201
2018-01-03-18,0.6923463940620422,0.8604253530502319,0.9999974966049194,0.9791539907455444
2018-01-03-21,0.9114363193511963,0.9999949336051941,0.9999949336051941,0.9999949336051941
2018-01-04-00,0.9943726658821106,0.9939036965370178,1.0,1.0
2018-01-04-03,0.9901337027549744,0.9964861273765564,0.9999999403953552,0.9999999403953552
2018-01-04-06,0.9668629765510559,0.9999995827674866,0.9999995827674866,0.9999995827674866
2018-01-04-09,0.9872944951057434,1.000000238418579,1.000000238418579,1.000000238418579
2018-01-04-12,0.9883767366409302,1.0000007152557373,1.0000007152557373,1.0000007152557373
2018-01-04-15,0.8562940955162048,0.9593350291252136,0.9999997019767761,0.9860989451408386
2018-01-04-18,0.4166616201400757,0.2781507968902588,0.9468824863433838,0.7176802158355713
2018-01-04-21,0.3166232705116272,0.2571631669998169,0.7768317461013794,0.3963080644607544
2018-01-05-00,0.5990446209907532,0.5552197098731995,0.988218367099762,0.777402937412262
2018-01-05-03,0.6357296705245972,0.6679935455322266,0.9063968658447266,0.7166538238525391
2018-01-05-06,0.7526102066040039,0.7392638325691223,0.9969695210456848,0.8971007466316223
2018-01-05-09,0.6771922707557678,0.7069994807243347,0.9999987483024597,0.9056689143180847
2018-01-05-12,0.5814233422279358,0.7009827494621277,0.9999939799308777,0.7868592143058777
2018-01-05-15,0.5623338222503662,0.63427734375,1.0,0.86431884765625
2018-01-05-18,0.6311395168304443,0.7831865549087524,0.9999986886978149,0.8751207590103149
2018-01-05-21,0.7256104946136475,0.8108121752738953,0.9998533129692078,0.9889280200004578
2018-01-06-00,0.7218614816665649,0.785560131072998,0.999854564666748,0.9848246574401855
2018-01-06-03,0.6304919719696045,0.7470200061798096,0.9750320911407471,0.9475357532501221
2018-01-06-06,0.6026583313941956,0.8317283391952515,0.967668890953064,0.8979514837265015
2018-01-06-09,0.37688732147216797,0.20826582610607147,0.8391862511634827,0.7959581017494202
2018-01-06-12,0.3079952597618103,0.167877197265625,0.8420257568359375,0.6758575439453125
2018-01-06-15,0.2965162694454193,0.16281025111675262,0.7926473021507263,0.6018056273460388
2018-01-06-18,0.2998708188533783,0.139556884765625,0.824951171875,0.62957763671875
2018-01-06-21,0.3182424008846283,0.1531524658203125,0.8233795166015625,0.6404876708984375
2018-01-07-00,0.3451215922832489,0.202667236328125,0.797027587890625,0.7343597412109375
2018-01-07-03,0.2997613847255707,0.4367920756340027,0.5123993754386902,0.4931275248527527
2018-01-07-06,0.3518269956111908,0.358734130859375,0.812042236328125,0.59295654296875
2018-01-07-09,0.3600788414478302,0.3062560260295868,0.6871611475944519,0.6319548487663269
2018-01-07-12,0.4077889323234558,0.4835149049758911,0.7882176637649536,0.6486150026321411
2018-01-07-15,0.3746161460876465,0.4731811583042145,0.7402557134628296,0.6592315435409546
2018-01-07-18,0.40389034152030945,0.36476507782936096,0.8420600295066833,0.7615546584129333
2018-01-07-21,0.4107166528701782,0.4139498472213745,0.846643328666687,0.7024630308151245
2018-01-08-00,0.3055894076824188,0.1690215766429901,0.7526397109031677,0.5112151503562927
2018-01-08-03,0.2790345549583435,0.09798058122396469,0.6833382248878479,0.5535927414894104
2018-01-08-06,0.18061065673828125,0.06964874267578125,0.4228515625,0.358489990234375
2018-01-08-09,0.1480204313993454,0.0410308837890625,0.40969085693359375,0.27513885498046875
