mean,median,max,time
100.7,93.54,239.45,2012-02-15 04:00:00
67.27,67.65,142.91,2012-02-15 05:00:00
61.23,58.57,243.14,2012-02-15 06:00:00
117.87,118.4,248.73,2012-02-15 07:00:00
72.99,68.31,210.27,2012-02-15 08:00:00
52.36,48.01,189.11,2012-02-15 09:00:00
89.67,73.78,248.96,2012-02-15 10:00:00
144.28,144.83,249.07,2012-02-15 11:00:00
50.9,45.02,198.38,2012-02-15 12:00:00
76.29,61.75,234.83,2012-02-15 13:00:00
74.42,53.9,223.27,2012-02-15 14:00:00
105.96,92.1,241.84,2012-02-15 15:00:00
56.27,39.3,248.62,2012-02-19 04:00:00
96.25,84.59,249.07,2012-02-19 05:00:00
96.84,89.15,239.15,2012-02-19 06:00:00
57.04,58.26,216.38,2012-02-19 07:00:00
29.45,31.94,168.4,2012-02-19 08:00:00
21.13,21.02,180.6,2012-02-19 09:00:00
17.04,18.01,136.38,2012-02-19 10:00:00
31.22,19.87,186.76,2012-02-19 11:00:00
33.03,33.11,159.46,2012-02-19 12:00:00
38.26,38.02,194.91,2012-02-19 13:00:00
38.32,37.49,177.64,2012-02-19 14:00:00
31.22,27.45,90.79,2012-02-19 15:00:00
31.77,28.03,149.32,2012-02-19 16:00:00
22.6,20.94,110.46,2012-02-20 06:00:00
57.17,39.36,249.07,2012-02-20 07:00:00
100.66,91.75,249.07,2012-02-20 08:00:00
79.11,77.01,195.07,2012-02-20 09:00:00
74.15,61.3,237.68,2012-02-20 10:00:00
89.24,70.75,214.06,2012-02-20 11:00:00
96.15,80.41,246.34,2012-02-20 12:00:00
90.91,67.22,215.55,2012-02-20 13:00:00
65.46,60.76,194.08,2012-02-20 14:00:00
57.98,55.22,160.39,2012-02-20 15:00:00
46.28,44.26,154.01,2012-02-20 16:00:00
26.35,19.61,198.32,2012-02-21 10:00:00
15.75,15.48,37.34,2012-02-22 04:00:00
32.32,23.38,197.75,2012-02-22 07:00:00
76.59,50.11,247.25,2012-02-22 08:00:00
64.91,65.92,239.45,2012-02-22 09:00:00
57.43,61.3,168.85,2012-02-22 10:00:00
31.21,32.33,61.3,2012-02-22 11:00:00
45.88,45.9,117.13,2012-02-22 12:00:00
50.41,46.6,125.64,2012-02-22 13:00:00
22.18,20.17,76.19,2012-02-22 14:00:00
17.21,16.24,49.01,2012-02-23 10:00:00
20.06,19.61,54.47,2012-02-24 11:00:00
27.74,27.81,66.75,2012-02-24 12:00:00
30.32,22.33,182.71,2012-02-25 08:00:00
38.45,38.26,119.1,2012-02-25 09:00:00
54.97,50.16,187.48,2012-02-25 10:00:00
