mean,median,max,time
61.58,59.89,239.45,2012-02-15 03:00:00
84.43,70.73,248.73,2012-02-15 06:00:00
97.28,79.5,249.07,2012-02-15 09:00:00
67.45,51.41,234.83,2012-02-15 12:00:00
51.7,31.21,249.07,2012-02-19 03:00:00
61.4,46.39,239.15,2012-02-19 06:00:00
23.17,19.24,186.76,2012-02-19 09:00:00
36.6,36.06,194.91,2012-02-19 12:00:00
62.35,39.43,249.07,2012-02-20 06:00:00
80.83,70.66,237.68,2012-02-20 09:00:00
84.2,69.35,246.34,2012-02-20 12:00:00
39.52,22.61,247.25,2012-02-22 06:00:00
50.38,46.44,239.45,2012-02-22 09:00:00
39.56,35.53,125.64,2012-02-22 12:00:00
61.64,51.33,193.3,2012-02-25 09:00:00
52.54,52.06,137.8,2012-02-25 12:00:00
30.5,28.94,94.34,2012-02-26 09:00:00
25.94,24.93,69.5,2012-02-27 09:00:00
38.05,36.28,107.5,2012-02-27 12:00:00
67.27,73.7,168.06,2012-02-28 06:00:00
39.04,32.4,140.34,2012-02-28 09:00:00
33.1,29.39,216.23,2012-03-01 06:00:00
128.49,129.51,249.07,2012-03-01 09:00:00
101.53,97.66,249.07,2012-03-01 12:00:00
52.26,43.34,249.07,2012-03-02 06:00:00
39.86,33.72,221.81,2012-03-02 09:00:00
72.81,70.92,219.68,2012-03-02 12:00:00
132.59,131.28,248.39,2012-03-03 06:00:00
51.36,44.75,172.82,2012-03-03 09:00:00
57.66,57.74,139.56,2012-03-03 12:00:00
124.67,127.84,244.85,2012-03-04 09:00:00
28.4,18.87,137.29,2012-03-04 12:00:00
125.56,130.75,249.07,2012-03-05 09:00:00
39.24,29.79,192.97,2012-03-05 12:00:00
53.43,47.46,167.24,2012-03-06 12:00:00
123.8,120.58,249.07,2012-03-09 06:00:00
71.08,67.58,234.19,2012-03-10 06:00:00
66.37,61.37,242.36,2012-03-10 09:00:00
91.77,90.04,249.07,2012-03-10 12:00:00
49.49,43.64,219.64,2012-03-11 09:00:00
41.53,38.95,164.55,2012-03-11 12:00:00
144.7,159.29,249.07,2012-03-12 09:00:00
68.17,61.71,249.07,2012-03-12 12:00:00
39.2,32.47,246.79,2012-03-13 09:00:00
41.6,34.83,210.22,2012-03-13 12:00:00
33.29,21.8,235.8,2012-03-14 09:00:00
72.59,64.58,222.13,2012-03-14 12:00:00
26.99,19.51,211.06,2012-03-15 06:00:00
68.93,56.41,239.83,2012-03-15 09:00:00
127.44,122.94,239.45,2012-03-15 12:00:00
66.96,47.67,239.45,2012-03-16 06:00:00
73.09,57.25,247.46,2012-03-16 09:00:00
46.32,36.29,223.3,2012-03-16 12:00:00
79.3,62.48,243.39,2012-03-17 06:00:00
54.75,49.98,202.88,2012-03-17 09:00:00
39.02,35.05,212.51,2012-03-17 12:00:00
24.32,18.46,193.17,2012-03-18 06:00:00
51.64,44.09,225.4,2012-03-18 09:00:00
23.27,16.6,239.45,2012-03-19 06:00:00
49.73,44.27,218.82,2012-03-19 09:00:00
42.57,36.84,223.6,2012-03-19 12:00:00
32.75,22.09,228.15,2012-03-21 09:00:00
39.17,32.31,211.44,2012-03-23 09:00:00
25.11,22.37,224.48,2012-03-23 12:00:00
55.2,55.41,129.66,2012-03-24 06:00:00
18.02,16.31,58.49,2012-03-24 09:00:00
21.6,19.35,72.93,2012-03-24 12:00:00
28.77,24.55,211.82,2012-03-25 09:00:00
21.73,16.31,124.82,2012-03-25 12:00:00
81.42,36.64,249.07,2012-03-27 09:00:00
80.4,76.81,237.32,2012-03-27 12:00:00
