segment,mean,median,max
2012-02-15-3,61.58,59.89,239.45
2012-02-15-6,84.43,70.73,248.73
2012-02-15-9,97.28,79.5,249.07
2012-02-15-12,67.45,51.41,234.83
2012-02-19-3,51.7,31.21,249.07
2012-02-19-6,61.4,46.39,239.15
2012-02-19-9,23.17,19.24,186.76
2012-02-19-12,36.6,36.06,194.91
2012-02-20-6,62.35,39.43,249.07
2012-02-20-9,80.83,70.66,237.68
2012-02-20-12,84.2,69.35,246.34
2012-02-22-6,39.52,22.61,247.25
2012-02-22-9,50.38,46.44,239.45
2012-02-22-12,39.56,35.53,125.64
2012-02-25-9,61.64,51.33,193.3
2012-02-25-12,52.54,52.06,137.8
2012-02-26-9,30.5,28.94,94.34
2012-02-27-9,25.94,24.93,69.5
2012-02-27-12,38.05,36.28,107.5
2012-02-28-6,67.27,73.7,168.06
2012-02-28-9,39.04,32.4,140.34
2012-03-01-6,33.1,29.39,216.23
2012-03-01-9,128.49,129.51,249.07
2012-03-01-12,101.53,97.66,249.07
2012-03-02-6,52.26,43.34,249.07
2012-03-02-9,39.86,33.72,221.81
2012-03-02-12,72.81,70.92,219.68
2012-03-03-6,132.59,131.28,248.39
2012-03-03-9,51.36,44.75,172.82
2012-03-03-12,57.66,57.74,139.56
2012-03-04-9,124.67,127.84,244.85
2012-03-04-12,28.4,18.87,137.29
2012-03-05-9,125.56,130.75,249.07
2012-03-05-12,39.24,29.79,192.97
2012-03-06-12,53.43,47.46,167.24
2012-03-09-6,123.8,120.58,249.07
2012-03-10-6,71.08,67.58,234.19
2012-03-10-9,66.37,61.37,242.36
2012-03-10-12,91.77,90.04,249.07
2012-03-11-9,49.49,43.64,219.64
2012-03-11-12,41.53,38.95,164.55
2012-03-12-9,144.7,159.29,249.07
2012-03-12-12,68.17,61.71,249.07
2012-03-13-9,39.2,32.47,246.79
2012-03-13-12,41.6,34.83,210.22
2012-03-14-9,33.29,21.8,235.8
2012-03-14-12,72.59,64.58,222.13
2012-03-15-6,26.99,19.51,211.06
2012-03-15-9,68.93,56.41,239.83
2012-03-15-12,127.44,122.94,239.45
2012-03-16-6,66.96,47.67,239.45
2012-03-16-9,73.09,57.25,247.46
2012-03-16-12,46.32,36.29,223.3
2012-03-17-6,79.3,62.48,243.39
2012-03-17-9,54.75,49.98,202.88
2012-03-17-12,39.02,35.05,212.51
2012-03-18-6,24.32,18.46,193.17
2012-03-18-9,51.64,44.09,225.4
2012-03-19-6,23.27,16.6,239.45
2012-03-19-9,49.73,44.27,218.82
2012-03-19-12,42.57,36.84,223.6
2012-03-21-9,32.75,22.09,228.15
2012-03-23-9,39.17,32.31,211.44
2012-03-23-12,25.11,22.37,224.48
2012-03-24-6,55.2,55.41,129.66
2012-03-24-9,18.02,16.31,58.49
2012-03-24-12,21.6,19.35,72.93
2012-03-25-9,28.77,24.55,211.82
2012-03-25-12,21.73,16.31,124.82
2012-03-27-9,81.42,36.64,249.07
2012-03-27-12,80.4,76.81,237.32
2012-03-28-6,83.32,69.82,239.45
2012-03-28-9,75.21,74.45,224.5
2012-03-28-12,45.15,42.21,248.39
2012-04-01-6,27.14,22.65,222.13
2012-04-01-9,51.32,50.5,205.25
2012-04-02-9,61.59,57.25,210.4
2012-04-03-6,31.91,29.0,248.5
2012-04-03-9,52.1,49.0,213.8
2012-04-03-12,21.31,15.51,122.12
2012-04-04-9,21.74,16.06,248.84
2012-04-05-6,140.55,164.3,249.07
2012-04-07-6,66.51,68.42,247.93
2012-04-07-9,128.56,130.45,248.73
2012-04-08-9,23.78,18.96,114.23
2012-04-12-6,30.49,23.03,111.06
2012-04-12-9,58.89,46.48,248.96
2012-04-13-6,69.45,58.06,237.39
2012-04-13-9,54.34,43.85,219.92
2012-04-14-6,31.48,29.23,209.07
2012-04-14-9,28.32,27.16,86.63
2012-04-15-9,26.42,20.09,216.41
2012-04-17-6,26.23,18.71,239.45
2012-04-17-9,28.4,15.19,237.96
2012-04-20-9,62.83,54.95,248.27
2012-04-22-9,56.3,47.09,229.69
2012-04-23-9,26.72,24.73,247.59
2012-04-24-9,18.92,16.16,247.7
2012-04-25-9,80.61,73.16,248.5
2012-04-26-9,29.54,23.86,239.45
2012-04-27-9,40.05,28.37,248.96
2012-04-29-9,29.88,23.33,248.62
2012-04-30-9,27.61,26.21,134.22
2012-05-01-9,53.3,38.74,249.07
2012-08-11-9,57.36,40.84,224.48
2012-08-12-9,19.49,15.15,84.71
2012-08-13-9,67.67,52.86,248.39
2012-08-14-9,60.37,40.17,248.27
2012-08-15-9,35.64,27.73,248.39
2012-08-16-9,20.73,17.32,84.81
2012-08-17-9,52.1,34.45,235.51
2012-08-18-9,73.23,33.38,249.07
2012-08-20-9,21.06,18.72,80.39
2012-08-23-9,62.01,52.53,248.84
2012-08-24-9,34.89,26.35,224.49
2012-08-25-6,53.46,26.37,249.07
2012-08-30-9,14.74,15.42,247.7
2012-09-02-6,18.0,19.36,82.72
2012-09-03-6,91.49,95.57,239.45
2012-09-04-6,39.26,26.75,239.22
2012-09-04-9,43.63,26.16,200.7
2012-09-05-6,28.17,16.97,127.56
2012-09-05-9,25.74,24.1,101.48
2012-09-07-6,32.81,29.66,232.57
2012-09-07-9,59.21,55.58,185.02
2012-09-08-6,33.76,23.11,213.7
2012-09-08-9,64.16,58.22,230.18
2012-09-08-12,56.0,23.67,247.13
2012-09-12-9,45.26,28.58,223.79
2012-09-18-6,30.17,27.36,199.54
2012-09-18-9,77.61,73.12,248.96
2012-09-18-12,46.88,41.6,189.12
2012-09-19-12,36.4,26.06,161.57
2012-09-20-9,30.58,23.38,178.68
2012-09-22-9,24.82,21.66,193.91
2012-09-28-9,16.07,17.33,139.65
2012-09-29-9,13.83,15.31,60.9
2012-10-02-9,111.63,126.89,249.07
2012-10-03-6,15.17,16.54,30.14
2012-10-03-9,20.83,17.12,214.33
2012-10-03-12,17.5,15.71,248.84
2012-10-04-9,32.96,21.63,221.78
2012-10-05-9,42.35,36.49,194.95
2012-10-05-12,36.04,28.16,105.29
2012-10-06-9,28.13,22.26,117.69
2012-10-06-12,32.87,32.63,78.62
2012-10-07-9,40.0,28.66,204.17
2012-10-08-6,87.43,80.34,243.6
2012-10-08-9,42.02,31.27,209.49
2012-10-08-12,21.19,19.11,91.76
2012-10-09-6,106.17,88.58,247.59
2012-10-09-9,87.35,63.37,246.68
