segment,mean,median,max
2015-01-01-0,0.00,0.00,0.00
2015-01-01-1,2.87,0.00,30.13
2015-01-01-4,17.33,19.99,27.49
2015-01-01-11,19.50,20.33,37.31
2015-01-01-12,20.47,21.28,42.23
2015-01-01-13,22.87,21.83,45.86
2015-01-01-14,16.67,13.42,44.79
2015-01-01-15,11.58,9.18,37.45
2015-01-01-16,8.41,6.52,36.37
2015-01-01-17,19.85,12.76,120.30
2015-01-01-18,15.38,0.00,114.93
2015-01-01-19,0.00,0.00,0.00
2015-01-01-20,0.00,0.00,0.00
2015-01-01-21,0.00,0.00,0.00
2015-01-01-22,0.00,0.00,0.00
2015-01-01-23,0.00,0.00,0.00
2015-01-02-0,0.00,0.00,0.00
2015-01-02-1,2.01,0.00,36.39
2015-01-02-2,21.63,22.89,46.01
2015-01-02-3,20.86,21.84,41.89
2015-01-02-4,20.48,21.60,32.02
2015-01-02-5,17.93,18.39,36.25
2015-01-02-6,18.14,18.31,67.24
2015-01-02-7,32.39,24.00,213.30
2015-01-02-10,77.25,61.87,247.82
2015-01-02-11,82.10,84.41,239.45
2015-01-02-12,108.03,112.68,230.34
2015-01-02-13,142.58,150.79,248.62
2015-01-02-14,115.62,121.75,230.88
2015-01-02-15,66.44,59.83,197.70
2015-01-02-16,28.46,13.76,148.78
2015-01-02-17,26.03,21.76,136.46
2015-01-02-18,4.68,0.00,60.56
2015-01-02-19,0.00,0.00,0.00
2015-01-02-20,0.00,0.00,0.00
2015-01-02-21,0.00,0.00,0.00
2015-01-02-22,0.00,0.00,0.00
2015-01-02-23,0.00,0.00,0.00
2015-01-03-0,0.00,0.00,0.00
2015-01-03-1,2.28,0.00,65.43
2015-01-03-3,22.11,24.06,37.80
2015-01-03-4,22.29,23.43,44.00
2015-01-03-6,80.82,54.35,246.45
2015-01-03-11,140.28,143.38,249.07
2015-01-03-12,76.04,73.81,198.52
2015-01-03-13,52.18,57.86,117.63
2015-01-03-14,30.82,30.96,76.50
2015-01-03-15,17.34,15.57,48.34
2015-01-03-16,12.04,9.49,43.99
2015-01-03-17,17.09,15.32,58.69
2015-01-03-18,4.87,0.00,57.57
2015-01-03-19,0.00,0.00,0.00
2015-01-03-20,0.00,0.00,0.00
2015-01-03-21,0.00,0.00,0.00
2015-01-03-22,0.00,0.00,0.00
2015-01-03-23,0.00,0.00,0.00
2015-01-04-0,0.00,0.00,0.00
