segment,mean,median,max
2017-01-01-3,31.7,30.69,200.63
2017-01-01-6,20.43,19.55,95.68
2017-01-02-9,47.53,42.06,221.27
2017-01-02-12,112.05,112.97,239.15
2017-01-02-15,64.07,50.04,211.04
2017-01-03-9,109.85,114.78,245.33
2017-01-03-12,50.69,43.04,176.18
2017-01-03-15,25.18,23.9,62.27
2017-01-04-9,41.09,36.09,137.21
2017-01-04-12,28.34,25.85,78.43
2017-01-05-12,40.85,37.12,110.99
2017-01-05-15,53.55,48.04,241.78
2017-01-06-6,33.66,25.75,222.71
2017-01-06-9,39.67,36.62,219.42
2017-01-06-12,61.96,51.15,195.85
2017-01-06-15,31.14,19.39,185.45
2017-01-07-3,17.64,17.51,210.44
2017-01-07-6,41.77,29.13,248.84
2017-01-07-9,38.64,32.25,228.09
2017-01-07-12,64.83,60.19,205.02
2017-01-07-15,34.5,26.55,239.45
2017-01-08-6,39.92,31.23,249.07
2017-01-08-9,85.22,77.22,239.45
2017-01-08-12,51.8,45.34,242.72
2017-01-08-15,41.22,30.3,209.4
2017-01-09-3,18.21,17.66,187.56
2017-01-09-6,24.54,21.29,249.07
2017-01-09-9,34.34,28.97,224.39
2017-01-09-12,56.44,50.76,193.64
2017-01-10-3,15.66,15.14,248.05
2017-01-10-6,22.47,20.99,240.75
2017-01-10-12,36.27,27.14,113.85
2017-01-11-3,19.87,19.91,247.82
2017-01-11-6,28.52,25.2,215.36
2017-01-11-12,25.91,24.51,92.76
2017-01-11-15,17.85,17.75,48.02
2017-01-13-3,15.72,16.85,27.92
2017-01-14-6,16.89,19.23,30.75
2017-01-14-15,17.39,18.78,35.53
2017-01-15-9,21.62,16.71,195.54
2017-01-15-12,35.37,24.48,248.96
2017-01-15-15,30.35,26.79,96.52
2017-01-16-9,17.0,17.88,27.59
2017-01-16-12,17.08,18.22,28.29
2017-01-16-15,19.37,19.77,44.41
2017-01-17-12,26.83,24.99,95.52
2017-01-17-15,24.54,21.84,248.96
2017-01-18-6,57.28,48.51,242.08
2017-01-18-9,100.58,97.64,247.88
2017-01-18-12,94.54,86.37,245.08
2017-01-18-15,59.25,44.46,248.16
2017-01-19-6,32.59,27.61,187.62
2017-01-19-9,69.06,59.23,223.6
2017-01-19-12,26.23,24.43,81.08
2017-01-20-6,25.64,18.27,224.2
2017-01-20-9,22.26,18.75,176.05
2017-01-20-12,23.2,19.09,85.4
2017-01-21-9,28.51,20.24,192.93
2017-01-21-15,26.66,20.62,96.15
2017-01-22-9,44.27,34.03,231.38
2017-01-22-12,43.31,37.02,190.24
2017-01-25-9,29.33,23.12,239.45
2017-01-26-9,44.24,36.61,159.04
2017-01-26-12,61.4,38.97,228.36
2017-01-26-15,23.11,22.89,95.5
2017-01-27-12,40.97,37.44,117.81
2017-01-27-15,28.45,20.56,135.91
2017-01-29-9,28.74,29.07,78.2
2017-01-29-12,27.21,27.13,62.23
2017-01-30-9,31.34,16.3,215.23
2017-01-30-12,28.84,19.77,140.22
2017-01-30-15,35.94,31.2,132.34
2017-01-31-6,31.2,27.58,210.23
2017-01-31-9,100.52,93.04,239.15
2017-01-31-12,36.09,34.65,139.08
2017-01-31-15,74.12,80.5,228.69
2017-02-01-3,20.99,18.07,184.35
2017-02-01-6,52.29,45.49,216.89
2017-02-01-9,55.67,49.08,239.45
2017-02-01-12,63.07,57.86,208.38
2017-02-01-15,54.78,45.39,249.07
2017-02-02-3,21.07,20.45,46.79
2017-02-02-6,34.85,21.43,217.33
2017-02-02-9,49.55,44.15,217.49
2017-02-02-12,47.8,41.44,158.36
2017-02-02-15,23.97,17.42,115.01
2017-02-03-3,20.68,18.25,247.7
2017-02-03-6,51.75,43.89,238.85
2017-02-03-9,41.66,38.64,126.37
2017-02-03-12,46.94,39.77,196.28
2017-02-03-15,50.8,45.7,233.47
2017-02-04-3,23.19,19.53,248.84
2017-02-04-6,37.43,23.86,234.02
2017-02-04-9,34.24,27.47,211.07
2017-02-04-12,34.6,27.03,187.77
2017-02-04-15,22.54,16.67,143.15
2017-02-05-3,22.83,17.98,186.93
2017-02-05-6,22.47,20.29,249.07
2017-02-05-9,55.29,41.51,248.62
2017-02-05-12,64.55,52.15,237.02
2017-02-05-15,34.81,29.63,140.15
2017-02-06-3,21.49,18.63,103.24
2017-02-06-6,28.39,23.7,248.84
2017-02-06-9,25.06,20.83,192.38
2017-02-06-12,40.45,31.57,219.53
2017-02-06-15,32.62,28.72,151.25
2017-02-07-3,22.61,22.41,86.2
2017-02-07-6,25.44,24.13,248.5
2017-02-07-9,33.01,26.91,216.56
2017-02-07-12,32.98,27.63,175.63
2017-02-07-15,19.85,17.34,129.7
2017-02-08-3,20.91,21.08,63.85
2017-02-08-6,24.95,23.16,249.07
2017-02-09-12,28.04,25.26,93.44
2017-02-09-15,16.76,17.46,62.17
2017-02-11-3,20.6,20.04,124.17
2017-02-11-6,25.47,24.88,193.75
2017-02-11-12,24.55,22.83,246.87
2017-02-11-15,21.69,16.09,224.48
2017-02-12-6,16.51,15.78,192.64
2017-02-12-9,26.61,22.0,226.59
2017-02-12-12,26.05,21.42,249.07
2017-02-13-6,16.16,16.3,28.41
2017-02-15-9,21.62,17.49,200.04
2017-02-15-12,21.44,22.05,102.87
2017-02-16-12,84.75,67.0,239.45
2017-02-16-15,79.09,30.56,244.29
2017-02-22-6,37.76,29.68,220.62
2017-02-22-9,68.75,59.89,239.45
2017-02-22-12,23.42,17.09,88.33
2017-02-23-6,30.06,20.46,239.45
2017-02-23-9,21.91,15.4,186.81
2017-02-23-12,25.83,24.24,81.87
2017-02-24-9,42.5,41.43,150.63
2017-02-24-12,27.7,27.94,55.82
2017-03-01-6,21.48,17.19,140.19
2017-03-01-9,115.81,115.06,249.07
2017-03-01-12,81.48,76.22,246.68
2017-03-02-6,70.45,49.48,248.5
2017-03-02-9,89.03,74.93,249.07
2017-03-02-12,57.4,46.62,248.73
2017-03-06-9,86.0,78.11,245.65
2017-03-06-12,66.87,48.2,218.35
2017-03-07-6,36.03,29.42,248.62
2017-03-07-9,41.99,29.58,224.2
2017-03-08-6,20.58,19.49,248.96
2017-03-08-9,50.98,34.87,238.36
2017-03-08-12,40.64,33.78,219.42
2017-03-09-6,40.56,21.54,248.05
2017-03-09-9,98.57,96.84,248.16
2017-03-09-12,93.8,87.46,237.36
2017-03-23-9,28.24,22.79,195.65
2017-03-27-6,70.6,62.21,249.07
2017-03-27-9,101.93,82.12,249.07
2017-03-27-12,33.52,25.16,248.96
2017-03-30-6,40.25,32.38,228.09
2017-03-30-9,24.07,20.07,228.39
2017-03-30-12,43.75,43.91,219.19
2017-04-03-9,34.63,23.16,238.85
2017-04-03-12,44.54,32.36,238.85
2017-04-04-6,105.7,115.0,249.07
2017-04-04-9,75.32,61.03,248.62
2017-04-05-6,21.15,22.39,227.04
2017-04-05-9,16.39,15.82,64.93
2017-04-06-9,44.47,38.64,170.9
2017-04-06-12,44.27,35.34,201.93
2017-04-07-9,41.86,33.2,170.85
2017-04-08-6,66.85,24.62,209.67
2017-04-08-9,52.44,34.17,194.58
2017-04-09-6,81.37,79.31,248.96
2017-04-09-9,90.83,85.11,249.07
2017-04-11-9,145.17,153.49,249.07
2017-04-12-6,33.82,26.96,237.36
2017-04-12-9,31.34,27.21,186.84
2017-04-14-6,25.0,19.3,213.51
2017-04-14-9,73.89,68.5,228.44
2017-04-16-9,30.16,16.36,243.03
2017-04-17-6,27.64,17.36,217.94
2017-04-19-9,52.63,34.75,248.62
2017-04-20-6,39.15,21.86,217.43
2017-04-20-9,120.41,116.12,249.07
2017-04-22-9,104.46,94.66,246.91
2017-04-23-9,89.99,73.86,249.07
2017-04-24-9,78.86,69.56,223.31
2017-04-25-9,63.9,58.14,248.62
2017-04-26-9,45.73,30.57,241.61
2017-08-17-9,72.8,68.38,247.25
2017-08-18-9,63.28,54.45,239.33
2017-08-19-9,45.66,44.77,149.3
2017-08-20-9,25.8,22.43,79.09
2017-08-21-9,28.89,25.94,244.06
2017-08-22-6,27.59,17.65,187.91
2017-08-22-9,34.28,32.43,183.18
2017-08-23-9,30.91,26.22,205.85
2017-08-24-6,36.39,26.83,214.5
2017-08-24-9,17.27,15.39,137.45
2017-08-27-9,25.18,16.9,117.79
2017-08-28-9,23.16,20.2,96.05
2017-08-30-6,19.7,20.37,50.54
2017-08-31-6,37.81,25.78,248.5
2017-08-31-9,97.63,71.69,249.07
2017-09-01-6,22.16,16.25,149.15
2017-09-01-9,66.72,53.44,232.96
2017-09-02-6,35.43,30.44,199.77
2017-09-02-9,72.28,62.76,232.07
2017-09-03-9,66.23,58.57,239.5
2017-09-04-9,21.62,19.86,73.74
2017-09-05-6,30.63,26.5,223.82
2017-09-05-9,33.72,27.93,216.14
2017-09-06-9,21.02,21.62,49.31
2017-09-07-6,77.45,51.03,245.99
2017-09-07-9,113.63,111.72,249.07
2017-09-08-6,70.09,59.35,237.39
2017-09-08-9,101.06,80.16,249.07
2017-09-09-6,16.35,15.88,139.2
2017-09-09-9,15.21,15.31,72.39
2017-09-10-9,16.73,17.9,30.77
2017-09-11-6,54.73,38.9,233.47
2017-09-11-9,40.94,38.93,215.24
2017-09-12-9,33.18,32.91,82.1
2017-09-12-12,19.18,15.9,101.69
2017-09-13-6,67.73,44.03,244.14
2017-09-13-9,36.48,33.12,128.27
2017-09-13-12,23.12,20.91,142.24
2017-09-14-9,39.5,29.06,199.17
2017-09-14-12,64.48,60.15,247.7
2017-09-15-6,40.17,26.72,208.34
2017-09-15-9,48.93,39.92,229.09
2017-09-15-12,56.22,56.41,195.89
2017-09-16-6,41.08,30.96,219.42
2017-09-16-9,54.01,31.56,226.53
2017-09-16-12,64.36,73.05,248.16
2017-09-17-9,50.15,37.11,210.75
2017-09-17-12,72.14,73.7,248.73
2017-09-18-6,56.13,42.97,239.45
2017-09-18-9,85.22,78.67,248.96
2017-09-18-12,27.34,24.6,134.37
2017-09-21-6,25.46,22.9,159.0
2017-09-21-9,34.02,31.29,170.75
2017-09-21-12,27.26,21.9,222.53
2017-09-22-12,19.86,18.29,68.56
2017-09-24-9,27.0,16.29,192.68
2017-09-24-12,47.95,40.07,236.26
2017-09-27-6,63.42,44.1,248.62
2017-09-27-9,62.33,41.77,240.18
2017-09-27-12,70.96,45.49,239.45
2017-09-28-6,110.46,102.36,249.07
2017-09-28-9,25.56,22.04,198.66
2017-09-28-12,21.2,16.89,100.31
2017-09-29-6,16.51,15.7,56.78
2017-09-29-9,32.21,28.46,163.0
2017-09-29-12,34.16,26.96,196.82
2017-09-30-9,20.59,16.87,82.14
2017-09-30-12,46.21,41.14,183.41
2017-10-02-6,16.54,16.34,96.02
2017-10-02-9,34.35,30.21,213.74
2017-10-02-12,27.62,25.75,88.37
2017-10-03-6,45.21,29.95,215.48
2017-10-05-6,18.64,18.52,36.63
2017-10-05-12,18.24,18.15,116.54
2017-10-06-12,82.9,83.6,248.84
2017-10-09-9,14.45,15.01,27.71
2017-10-09-12,15.09,15.61,29.07
2017-10-10-12,15.86,16.18,34.63
2017-10-11-3,27.66,23.71,233.68
2017-10-11-6,42.09,38.85,212.61
2017-10-11-9,40.73,30.99,161.92
2017-10-11-12,33.32,27.25,123.99
2017-10-12-3,35.66,33.83,239.45
2017-10-12-6,89.8,69.36,239.45
2017-10-12-9,73.48,68.32,239.15
2017-10-12-12,86.25,83.69,232.56
2017-10-13-12,62.15,50.18,210.02
2017-10-14-3,40.91,31.87,233.77
2017-10-14-6,46.93,40.2,220.91
2017-10-14-9,58.94,46.28,217.1
2017-10-14-12,33.06,32.48,125.77
2017-10-15-3,43.18,34.98,203.28
2017-10-15-6,21.28,20.84,57.77
2017-10-15-9,52.07,35.31,209.42
2017-10-15-12,68.29,53.8,222.37
2017-10-16-9,29.78,28.72,93.95
2017-10-17-9,19.47,15.53,81.67
2017-10-19-6,61.37,37.64,248.84
