segment,mean,median,max
2020-01-01-0,10.15,2.79,90.10
2020-01-01-3,4.55,4.98,11.64
2020-01-01-6,4.11,4.57,12.30
2020-01-01-9,4.71,4.96,12.11
2020-01-01-12,5.82,5.44,16.20
2020-01-01-15,8.66,6.44,73.47
2020-01-01-18,7.17,0.00,83.97
2020-01-01-21,0.00,0.00,0.00
2020-01-02-0,11.68,2.12,140.79
2020-01-02-3,1.70,1.90,10.89
2020-01-02-6,2.74,2.78,6.74
2020-01-02-9,2.18,2.30,6.44
2020-01-02-12,1.82,1.90,13.66
2020-01-02-15,4.65,3.55,54.39
2020-01-02-18,6.45,0.00,109.32
2020-01-02-21,0.00,0.00,0.00
2020-01-03-0,7.14,0.41,53.08
2020-01-03-3,5.85,6.06,12.27
2020-01-03-6,18.43,14.49,120.42
2020-01-03-9,38.27,23.79,201.03
2020-01-03-12,8.29,8.81,25.82
2020-01-03-15,11.69,9.40,223.89
2020-01-03-18,5.56,0.00,224.48
2020-01-03-21,0.00,0.00,0.00
2020-01-04-0,10.86,0.00,128.17
2020-01-04-3,7.63,7.75,25.37
2020-01-04-6,7.18,7.05,25.15
2020-01-04-9,12.09,6.45,87.95
2020-01-04-12,15.68,10.73,80.76
2020-01-04-15,25.81,24.17,213.91
2020-01-04-18,7.10,0.00,159.88
2020-01-04-21,0.00,0.00,0.00
2020-01-05-0,9.16,0.00,75.60
2020-01-05-3,12.35,12.49,31.32
2020-01-05-6,12.98,13.74,25.00
2020-01-05-9,9.88,9.27,26.91
2020-01-05-12,31.56,22.91,135.95
2020-01-05-15,9.89,6.04,223.89
2020-01-05-18,4.78,0.00,221.07
2020-01-05-21,0.00,0.00,0.00
2020-01-06-0,7.44,0.00,64.39
2020-01-06-3,18.50,19.70,36.19
2020-01-06-6,17.62,18.20,28.58
2020-01-06-9,16.87,17.57,30.13
2020-01-06-12,6.95,5.57,28.65
2020-01-06-15,7.61,3.79,205.69
2020-01-06-18,4.09,0.00,166.64
2020-01-06-21,0.00,0.00,0.00
2020-01-07-0,9.37,0.00,249.07
2020-01-07-3,14.58,13.72,248.96
2020-01-07-6,14.11,13.75,29.32
2020-01-07-9,15.12,14.76,29.68
2020-01-07-12,14.35,13.22,247.13
2020-01-07-15,13.86,9.80,148.73
2020-01-07-18,3.94,0.00,147.56
2020-01-07-21,0.00,0.00,0.00
2020-01-08-0,9.88,0.00,243.94
2020-01-08-3,19.71,18.04,249.07
2020-01-08-6,17.75,18.02,38.27
2020-01-08-9,24.34,24.01,54.47
2020-01-08-12,18.21,16.73,246.20
2020-01-08-15,21.59,18.22,248.96
2020-01-08-18,3.47,0.00,203.76
2020-01-08-21,0.00,0.00,0.00
2020-01-10-0,19.68,0.00,227.69
2020-01-10-3,24.22,22.81,248.73
2020-01-10-9,104.43,110.03,234.89
2020-01-10-12,60.76,55.23,224.48
2020-01-10-18,0.63,0.00,80.75
2020-01-10-21,0.00,0.00,0.00
2020-01-11-0,11.02,0.00,128.47
2020-01-11-3,19.08,18.50,248.96
2020-01-11-9,33.61,31.05,87.75
2020-01-11-12,24.84,26.07,40.90
2020-01-11-15,27.44,26.16,224.48
2020-01-11-18,0.27,0.00,61.54
2020-01-11-21,0.00,0.00,0.00
2020-01-12-0,8.85,0.00,129.06
2020-01-12-3,13.01,11.87,32.35
2020-01-12-6,24.22,22.13,248.96
2020-01-12-9,21.83,22.30,36.54
2020-01-12-12,18.50,18.69,34.74
2020-01-12-15,18.98,17.27,110.45
2020-01-12-18,0.42,0.00,67.93
2020-01-12-21,0.00,0.00,0.00
2020-01-13-0,8.31,0.00,129.82
2020-01-13-3,7.57,6.88,26.47
2020-01-13-6,15.39,13.60,248.62
2020-01-13-18,0.25,0.00,30.22
2020-01-13-21,0.00,0.00,0.00
2020-01-14-0,6.57,0.00,52.19
2020-01-14-3,3.77,3.97,8.65
2020-01-14-6,9.91,9.21,27.36
2020-01-14-9,18.17,19.59,32.16
2020-01-14-15,20.20,20.30,46.65
2020-01-14-18,0.73,0.00,46.71
2020-01-14-21,0.00,0.00,0.00
2020-01-15-0,4.65,0.00,31.82
2020-01-15-3,3.44,3.67,6.58
2020-01-15-6,5.19,5.09,13.58
2020-01-15-9,25.86,24.16,78.53
2020-01-15-12,17.46,18.58,31.63
2020-01-15-15,17.94,17.99,40.82
2020-01-15-18,0.57,0.00,33.47
2020-01-15-21,0.00,0.00,0.00
2020-01-16-0,5.42,0.00,90.40
2020-01-16-3,4.28,4.51,22.16
2020-01-16-6,4.82,5.15,12.46
2020-01-16-9,26.72,28.54,246.68
2020-01-16-12,11.34,9.16,41.72
2020-01-16-15,12.20,8.57,143.25
2020-01-16-18,0.23,0.00,72.51
2020-01-16-21,0.00,0.00,0.00
2020-01-17-0,4.98,0.00,60.64
2020-01-17-3,3.31,3.38,18.95
2020-01-17-6,3.56,3.86,11.15
2020-01-17-9,4.28,4.27,24.98
2020-01-17-12,4.88,4.69,23.74
2020-01-17-15,15.41,12.27,141.80
2020-01-17-18,0.04,0.00,12.25
2020-01-17-21,0.00,0.00,0.00
2020-01-18-0,4.79,0.00,75.50
2020-01-18-3,3.63,3.79,21.64
2020-01-18-6,4.18,3.91,20.70
2020-01-18-9,5.82,5.68,22.00
2020-01-18-12,3.99,4.09,26.81
2020-01-18-15,10.15,4.55,220.95
2020-01-18-18,0.13,0.00,42.70
2020-01-18-21,0.00,0.00,0.00
2020-01-19-0,6.36,0.00,126.13
2020-01-19-3,3.59,3.79,21.45
2020-01-19-6,3.48,3.68,11.35
2020-01-19-9,3.39,3.38,8.17
2020-01-19-12,2.67,2.79,23.74
2020-01-19-15,9.89,3.68,149.02
2020-01-19-18,0.13,0.00,37.70
2020-01-19-21,0.00,0.00,0.00
2020-01-20-0,6.16,0.00,127.89
2020-01-20-3,3.40,3.68,20.56
2020-01-20-6,3.71,3.98,10.58
2020-01-20-9,3.52,3.79,7.66
2020-01-20-12,3.19,3.38,23.92
2020-01-20-15,11.21,4.68,223.89
2020-01-20-18,0.00,0.00,0.00
2020-01-20-21,0.00,0.00,0.00
2020-01-21-0,6.69,0.00,128.17
2020-01-21-3,3.82,3.98,20.69
2020-01-21-6,3.92,3.86,15.20
2020-01-21-9,6.75,5.50,28.94
2020-01-21-12,4.83,4.57,37.70
2020-01-21-15,47.80,40.26,151.95
2020-01-21-18,0.00,0.00,0.00
2020-01-21-21,0.00,0.00,0.00
2020-01-22-0,6.24,0.00,84.69
2020-01-22-3,5.37,5.75,18.23
2020-01-22-6,6.16,5.45,19.59
2020-01-22-9,39.13,47.09,155.53
2020-01-22-12,33.08,36.90,83.02
2020-01-22-15,11.13,6.03,100.15
2020-01-22-18,0.00,0.00,0.00
2020-01-22-21,0.00,0.00,0.00
2020-01-23-0,4.69,0.00,39.02
2020-01-23-3,5.61,4.86,26.30
2020-01-23-6,3.62,3.98,7.13
2020-01-23-9,5.07,4.98,13.83
2020-01-23-12,3.04,3.27,7.76
2020-01-23-15,10.36,3.39,121.84
2020-01-23-18,0.00,0.00,0.00
2020-01-23-21,0.00,0.00,0.00
2020-01-24-0,5.19,0.00,39.32
2020-01-24-3,3.43,3.51,14.74
2020-01-24-6,3.94,4.06,12.44
2020-01-24-9,3.91,4.28,7.65
2020-01-24-12,5.17,4.98,13.00
2020-01-24-15,8.47,2.79,64.22
2020-01-24-18,0.00,0.00,0.00
2020-01-24-21,0.00,0.00,0.00
2020-01-25-0,4.07,0.00,30.72
2020-01-25-3,3.32,3.30,9.94
2020-01-25-6,3.20,3.38,46.41
2020-01-25-9,5.34,4.86,20.50
2020-01-25-12,2.55,2.79,5.28
2020-01-25-15,6.52,3.50,49.10
2020-01-25-18,0.00,0.00,0.00
2020-01-25-21,0.00,0.00,0.00
2020-01-26-0,5.75,0.00,126.71
2020-01-26-3,3.50,3.38,29.62
2020-01-26-6,4.11,4.12,113.22
2020-01-26-9,3.65,3.86,33.64
2020-01-26-12,4.31,4.57,20.79
2020-01-26-15,9.77,5.39,64.97
2020-01-26-18,0.00,0.00,0.00
2020-01-26-21,0.00,0.00,0.00
2020-01-28-0,0.00,0.00,0.00
2020-01-28-3,4.10,3.68,25.57
2020-01-28-6,6.85,6.70,15.62
2020-01-28-9,3.46,3.50,7.75
2020-01-28-12,2.57,2.68,10.69
2020-01-28-15,6.92,2.79,45.37
2020-01-28-18,0.00,0.00,0.00
2020-01-28-21,0.00,0.00,0.00
2020-01-29-0,5.44,0.00,102.85
2020-01-29-3,8.16,7.75,37.26
